model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-07,V1,V1,train,sub-02,420,435,rsa,0.09049886465072632
sub-07,V1,V2,train,sub-02,420,567,rsa,0.07421135157346725
sub-07,V1,V3,train,sub-02,420,538,rsa,0.06063637509942055
sub-07,V1,V4,train,sub-02,420,630,rsa,0.04290390759706497
sub-07,V1,V3A,train,sub-02,420,273,rsa,0.0481967069208622
sub-07,V1,V3B,train,sub-02,420,148,rsa,0.034308187663555145
sub-07,V1,V6,train,sub-02,420,147,rsa,0.0216011144220829
sub-07,V1,V6A,train,sub-02,420,82,rsa,0.009604000486433506
sub-07,V1,V7,train,sub-02,420,88,rsa,0.024659225717186928
sub-07,V1,V8,train,sub-02,420,105,rsa,0.02564188465476036
sub-07,V1,FFC,train,sub-02,420,269,rsa,0.02686939761042595
sub-07,V1,PIT,train,sub-02,420,110,rsa,0.01902020163834095
sub-07,V1,IPS1,train,sub-02,420,212,rsa,0.011866459622979164
sub-07,V1,MST,train,sub-02,420,149,rsa,0.023397797718644142
sub-07,V1,MT,train,sub-02,420,99,rsa,0.025821000337600708
sub-07,V1,FST,train,sub-02,420,171,rsa,0.023117322474718094
sub-07,V1,LO1,train,sub-02,420,78,rsa,0.022712932899594307
sub-07,V1,LO2,train,sub-02,420,82,rsa,0.031753234565258026
sub-07,V1,LO3,train,sub-02,420,124,rsa,0.02945632115006447
sub-07,V1,V7,train,sub-02,420,88,rsa,0.024659225717186928
sub-07,V1,IP0,train,sub-02,420,151,rsa,0.009928246960043907
sub-07,V1,IP1,train,sub-02,420,78,rsa,0.00949495192617178
sub-07,V1,MIP,train,sub-02,420,198,rsa,0.002938424004241824
sub-07,V1,VIP,train,sub-02,420,200,rsa,0.007894085720181465
sub-07,V1,LIPd,train,sub-02,420,106,rsa,0.008001425303518772
sub-07,V1,LIPv,train,sub-02,420,239,rsa,0.016556357964873314
sub-07,V1,AIP,train,sub-02,420,381,rsa,0.009313189424574375
sub-07,V1,7Pm,train,sub-02,420,37,rsa,0.004303020890802145
sub-07,V1,7PL,train,sub-02,420,38,rsa,0.0002576534461695701
sub-07,V1,7PC,train,sub-02,420,234,rsa,0.007482677232474089
sub-07,V1,7Am,train,sub-02,420,232,rsa,0.005839468911290169
sub-07,V1,7AL,train,sub-02,420,259,rsa,0.0033286053221672773
sub-07,V1,VVC,train,sub-02,420,159,rsa,0.026654407382011414
sub-07,V1,VMV2,train,sub-02,420,124,rsa,0.009243861772119999
sub-07,V1,VMV3,train,sub-02,420,113,rsa,0.013201038353145123
sub-07,V1,VMV1,train,sub-02,420,84,rsa,0.022042062133550644
sub-07,V1,PHA2,train,sub-02,420,29,rsa,4.5843382395105436e-05
sub-07,V1,PHA3,train,sub-02,420,147,rsa,0.0026492944452911615
sub-07,V1,PH,train,sub-02,420,360,rsa,0.04217592254281044
sub-07,V2,V1,train,sub-02,470,435,rsa,0.08826735615730286
sub-07,V2,V2,train,sub-02,470,567,rsa,0.09330114722251892
sub-07,V2,V3,train,sub-02,470,538,rsa,0.06410656869411469
sub-07,V2,V4,train,sub-02,470,630,rsa,0.05107937753200531
sub-07,V2,V3A,train,sub-02,470,273,rsa,0.05058060586452484
sub-07,V2,V3B,train,sub-02,470,148,rsa,0.034490276128053665
sub-07,V2,V6,train,sub-02,470,147,rsa,0.026657305657863617
sub-07,V2,V6A,train,sub-02,470,82,rsa,0.0103725241497159
sub-07,V2,V7,train,sub-02,470,88,rsa,0.027767762541770935
sub-07,V2,V8,train,sub-02,470,105,rsa,0.032697033137083054
sub-07,V2,FFC,train,sub-02,470,269,rsa,0.02818886749446392
sub-07,V2,PIT,train,sub-02,470,110,rsa,0.020864833146333694
sub-07,V2,IPS1,train,sub-02,470,212,rsa,0.010226086713373661
sub-07,V2,MST,train,sub-02,470,149,rsa,0.02904255874454975
sub-07,V2,MT,train,sub-02,470,99,rsa,0.025859780609607697
sub-07,V2,FST,train,sub-02,470,171,rsa,0.020909756422042847
sub-07,V2,LO1,train,sub-02,470,78,rsa,0.026828806847333908
sub-07,V2,LO2,train,sub-02,470,82,rsa,0.034970782697200775
sub-07,V2,LO3,train,sub-02,470,124,rsa,0.028002256527543068
sub-07,V2,V7,train,sub-02,470,88,rsa,0.027767762541770935
sub-07,V2,IP0,train,sub-02,470,151,rsa,0.012866700068116188
sub-07,V2,IP1,train,sub-02,470,78,rsa,0.008935230784118176
sub-07,V2,MIP,train,sub-02,470,198,rsa,0.004078218247741461
sub-07,V2,VIP,train,sub-02,470,200,rsa,0.008471162058413029
sub-07,V2,LIPd,train,sub-02,470,106,rsa,0.0076071531511843204
sub-07,V2,LIPv,train,sub-02,470,239,rsa,0.015421433374285698
sub-07,V2,AIP,train,sub-02,470,381,rsa,0.005729915574193001
sub-07,V2,7Pm,train,sub-02,470,37,rsa,0.007863222621381283
sub-07,V2,7PL,train,sub-02,470,38,rsa,0.0011223561596125364
sub-07,V2,7PC,train,sub-02,470,234,rsa,0.0048916153609752655
sub-07,V2,7Am,train,sub-02,470,232,rsa,0.008797978051006794
sub-07,V2,7AL,train,sub-02,470,259,rsa,0.006486937869340181
sub-07,V2,VVC,train,sub-02,470,159,rsa,0.024751117452979088
sub-07,V2,VMV2,train,sub-02,470,124,rsa,0.009648161940276623
sub-07,V2,VMV3,train,sub-02,470,113,rsa,0.013068226166069508
sub-07,V2,VMV1,train,sub-02,470,84,rsa,0.0194285586476326
sub-07,V2,PHA2,train,sub-02,470,29,rsa,0.0011153232771903276
sub-07,V2,PHA3,train,sub-02,470,147,rsa,0.001672916579991579
sub-07,V2,PH,train,sub-02,470,360,rsa,0.032281652092933655
sub-07,V3,V1,train,sub-02,348,435,rsa,0.05823319032788277
sub-07,V3,V2,train,sub-02,348,567,rsa,0.06561513245105743
sub-07,V3,V3,train,sub-02,348,538,rsa,0.05997612699866295
sub-07,V3,V4,train,sub-02,348,630,rsa,0.05695778504014015
sub-07,V3,V3A,train,sub-02,348,273,rsa,0.06232894957065582
sub-07,V3,V3B,train,sub-02,348,148,rsa,0.04519392177462578
sub-07,V3,V6,train,sub-02,348,147,rsa,0.03285537287592888
sub-07,V3,V6A,train,sub-02,348,82,rsa,0.01509985700249672
sub-07,V3,V7,train,sub-02,348,88,rsa,0.03872239589691162
sub-07,V3,V8,train,sub-02,348,105,rsa,0.03840618580579758
sub-07,V3,FFC,train,sub-02,348,269,rsa,0.037832487374544144
