model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-09,V1,V1,train,sub-03,linear_predictivity,641,361,0.07127088724609677,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18682967179256454,1.1629010182808768,0.8129460567575763,0.9247639857022026
sub-09,V1,V1,test,sub-03,linear_predictivity,641,361,0.173615698900392,"[0.17140681466599705, 0.17464367560085356, 0.17450392127408137, 0.17528111649752623, 0.17224296646350173]",,,,,
sub-09,V1,V2,train,sub-03,linear_predictivity,641,525,0.07051897141215006,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1893981087768467,1.1586830877862861,0.8103360879534798,0.9246865410782474
sub-09,V1,V2,test,sub-03,linear_predictivity,641,525,0.16825397253158256,"[0.16078426272759244, 0.17079587032904728, 0.16674826063597525, 0.17117923466685026, 0.17176223429844759]",,,,,
sub-09,V1,V3,train,sub-03,linear_predictivity,641,361,0.10025184818294647,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2134956005277072,1.1361841904983763,0.7862819115656182,0.8956591322166988
sub-09,V1,V3,test,sub-03,linear_predictivity,641,361,0.22659429729721264,"[0.21679531548307904, 0.23433430978965325, 0.22283294688453023, 0.22752403048313832, 0.23148488384566232]",,,,,
sub-09,V1,V4,train,sub-03,linear_predictivity,641,555,0.06312264136555673,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18226941424618742,1.1641521073271215,0.8174479109536739,0.9317213621936418
sub-09,V1,V4,test,sub-03,linear_predictivity,641,555,0.13956421709017838,"[0.13488895655272415, 0.14497917532790192, 0.13749130182155717, 0.1371854034403331, 0.14327624830837554]",,,,,
sub-09,V1,V3A,train,sub-03,linear_predictivity,641,198,0.0353917894035453,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16064334249349385,1.1760273930813396,0.8390692857278206,0.959021290248845
sub-09,V1,V3A,test,sub-03,linear_predictivity,641,198,0.09629621284164644,"[0.0823766616751018, 0.10950982107483513, 0.09228871607550816, 0.10645903452232744, 0.09084683086045969]",,,,,
