model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-09,V1,V1,train,sub-03,641,361,rsa,0.12005623430013657
sub-09,V1,V2,train,sub-03,641,525,rsa,0.11540425568819046
sub-09,V1,V3,train,sub-03,641,361,rsa,0.11301589012145996
sub-09,V1,V4,train,sub-03,641,555,rsa,0.08439815789461136
sub-09,V1,V3A,train,sub-03,641,198,rsa,0.04025231674313545
sub-09,V1,V3B,train,sub-03,641,149,rsa,0.03808629885315895
sub-09,V1,V6,train,sub-03,641,157,rsa,0.028406070545315742
sub-09,V1,V6A,train,sub-03,641,68,rsa,0.019859258085489273
sub-09,V1,V7,train,sub-03,641,88,rsa,0.02791418693959713
sub-09,V1,V8,train,sub-03,641,111,rsa,0.04109453409910202
sub-09,V1,FFC,train,sub-03,641,301,rsa,0.04213854670524597
sub-09,V1,PIT,train,sub-03,641,105,rsa,0.029683152213692665
sub-09,V1,IPS1,train,sub-03,641,123,rsa,0.017181824892759323
sub-09,V1,MST,train,sub-03,641,147,rsa,0.03996367007493973
sub-09,V1,MT,train,sub-03,641,98,rsa,0.042820386588573456
sub-09,V1,FST,train,sub-03,641,166,rsa,0.026764338836073875
sub-09,V1,LO1,train,sub-03,641,74,rsa,0.0279392059892416
sub-09,V1,LO2,train,sub-03,641,75,rsa,0.018446296453475952
sub-09,V1,LO3,train,sub-03,641,124,rsa,0.02823522500693798
sub-09,V1,V7,train,sub-03,641,88,rsa,0.02791418693959713
sub-09,V1,IP0,train,sub-03,641,110,rsa,0.024937760084867477
sub-09,V1,IP1,train,sub-03,641,17,rsa,0.0016615018248558044
sub-09,V1,MIP,train,sub-03,641,176,rsa,0.018422365188598633
sub-09,V1,VIP,train,sub-03,641,150,rsa,0.014068739488720894
sub-09,V1,LIPd,train,sub-03,641,22,rsa,0.003332975087687373
sub-09,V1,LIPv,train,sub-03,641,178,rsa,0.0151880644261837
sub-09,V1,AIP,train,sub-03,641,121,rsa,0.0030174762941896915
sub-09,V1,7Pm,train,sub-03,641,23,rsa,0.004411166068166494
sub-09,V1,7PL,train,sub-03,641,32,rsa,0.008243618533015251
sub-09,V1,7PC,train,sub-03,641,241,rsa,0.0058990647085011005
sub-09,V1,7Am,train,sub-03,641,115,rsa,0.005058258306235075
sub-09,V1,7AL,train,sub-03,641,210,rsa,0.00464843912050128
sub-09,V1,VVC,train,sub-03,641,185,rsa,0.023517858237028122
sub-09,V1,VMV2,train,sub-03,641,108,rsa,0.033356986939907074
sub-09,V1,VMV3,train,sub-03,641,111,rsa,0.02690049819648266
sub-09,V1,VMV1,train,sub-03,641,73,rsa,0.032522425055503845
sub-09,V1,PHA2,train,sub-03,641,17,rsa,0.007793374825268984
sub-09,V1,PHA3,train,sub-03,641,86,rsa,0.014393674209713936
sub-09,V1,PH,train,sub-03,641,280,rsa,0.03057914227247238
sub-09,V2,V1,train,sub-03,754,361,rsa,0.11750383675098419
sub-09,V2,V2,train,sub-03,754,525,rsa,0.14969979226589203
sub-09,V2,V3,train,sub-03,754,361,rsa,0.11114402860403061
sub-09,V2,V4,train,sub-03,754,555,rsa,0.08946478366851807
sub-09,V2,V3A,train,sub-03,754,198,rsa,0.049303509294986725
sub-09,V2,V3B,train,sub-03,754,149,rsa,0.03363480418920517
sub-09,V2,V6,train,sub-03,754,157,rsa,0.04429664835333824
sub-09,V2,V6A,train,sub-03,754,68,rsa,0.020818373188376427
sub-09,V2,V7,train,sub-03,754,88,rsa,0.033416714519262314
sub-09,V2,V8,train,sub-03,754,111,rsa,0.05454365164041519
sub-09,V2,FFC,train,sub-03,754,301,rsa,0.045914433896541595
sub-09,V2,PIT,train,sub-03,754,105,rsa,0.028840459883213043
sub-09,V2,IPS1,train,sub-03,754,123,rsa,0.023844702169299126
sub-09,V2,MST,train,sub-03,754,147,rsa,0.039684128016233444
sub-09,V2,MT,train,sub-03,754,98,rsa,0.04177933186292648
sub-09,V2,FST,train,sub-03,754,166,rsa,0.036739300936460495
sub-09,V2,LO1,train,sub-03,754,74,rsa,0.028947334736585617
sub-09,V2,LO2,train,sub-03,754,75,rsa,0.01874164678156376
sub-09,V2,LO3,train,sub-03,754,124,rsa,0.03368249163031578
sub-09,V2,V7,train,sub-03,754,88,rsa,0.033416714519262314
sub-09,V2,IP0,train,sub-03,754,110,rsa,0.03176555782556534
sub-09,V2,IP1,train,sub-03,754,17,rsa,0.000427970546297729
sub-09,V2,MIP,train,sub-03,754,176,rsa,0.02683163434267044
sub-09,V2,VIP,train,sub-03,754,150,rsa,0.013188544660806656
sub-09,V2,LIPd,train,sub-03,754,22,rsa,0.006341714411973953
sub-09,V2,LIPv,train,sub-03,754,178,rsa,0.020369529724121094
sub-09,V2,AIP,train,sub-03,754,121,rsa,0.004450410604476929
sub-09,V2,7Pm,train,sub-03,754,23,rsa,0.00564239639788866
sub-09,V2,7PL,train,sub-03,754,32,rsa,0.017160525545477867
sub-09,V2,7PC,train,sub-03,754,241,rsa,0.006831081118434668
sub-09,V2,7Am,train,sub-03,754,115,rsa,0.007268782705068588
sub-09,V2,7AL,train,sub-03,754,210,rsa,0.005899500101804733
sub-09,V2,VVC,train,sub-03,754,185,rsa,0.028572116047143936
sub-09,V2,VMV2,train,sub-03,754,108,rsa,0.03644957020878792
sub-09,V2,VMV3,train,sub-03,754,111,rsa,0.032717786729335785
sub-09,V2,VMV1,train,sub-03,754,73,rsa,0.03934076800942421
sub-09,V2,PHA2,train,sub-03,754,17,rsa,0.00926519650965929
sub-09,V2,PHA3,train,sub-03,754,86,rsa,0.022535955533385277
sub-09,V2,PH,train,sub-03,754,280,rsa,0.030399097129702568
sub-09,V3,V1,train,sub-03,575,361,rsa,0.10189850628376007
sub-09,V3,V2,train,sub-03,575,525,rsa,0.13187502324581146
sub-09,V3,V3,train,sub-03,575,361,rsa,0.11666561663150787
sub-09,V3,V4,train,sub-03,575,555,rsa,0.09799199551343918
sub-09,V3,V3A,train,sub-03,575,198,rsa,0.05927315354347229
sub-09,V3,V3B,train,sub-03,575,149,rsa,0.04365953058004379
sub-09,V3,V6,train,sub-03,575,157,rsa,0.043321650475263596
sub-09,V3,V6A,train,sub-03,575,68,rsa,0.022569039836525917
sub-09,V3,V7,train,sub-03,575,88,rsa,0.035579435527324677
sub-09,V3,V8,train,sub-03,575,111,rsa,0.059757865965366364
sub-09,V3,FFC,train,sub-03,575,301,rsa,0.04543837532401085
sub-09,V3,PIT,train,sub-03,575,105,rsa,0.036442141979932785
sub-09,V3,IPS1,train,sub-03,575,123,rsa,0.02170250378549099
sub-09,V3,MST,train,sub-03,575,147,rsa,0.05272660404443741
sub-09,V3,MT,train,sub-03,575,98,rsa,0.05311596393585205
sub-09,V3,FST,train,sub-03,575,166,rsa,0.03885535150766373
sub-09,V3,LO1,train,sub-03,575,74,rsa,0.03766217455267906
sub-09,V3,LO2,train,sub-03,575,75,rsa,0.02182433195412159
sub-09,V3,LO3,train,sub-03,575,124,rsa,0.044347088783979416
sub-09,V3,V7,train,sub-03,575,88,rsa,0.035579435527324677
sub-09,V3,IP0,train,sub-03,575,110,rsa,0.031575433909893036
sub-09,V3,IP1,train,sub-03,575,17,rsa,0.002478701062500477
sub-09,V3,MIP,train,sub-03,575,176,rsa,0.025102905929088593
sub-09,V3,VIP,train,sub-03,575,150,rsa,0.014853407628834248
sub-09,V3,LIPd,train,sub-03,575,22,rsa,0.007008178159594536
sub-09,V3,LIPv,train,sub-03,575,178,rsa,0.01856374181807041
sub-09,V3,AIP,train,sub-03,575,121,rsa,0.005727630108594894
sub-09,V3,7Pm,train,sub-03,575,23,rsa,0.005129903554916382
sub-09,V3,7PL,train,sub-03,575,32,rsa,0.014238758943974972
sub-09,V3,7PC,train,sub-03,575,241,rsa,0.008208015002310276
sub-09,V3,7Am,train,sub-03,575,115,rsa,0.006962364073842764
sub-09,V3,7AL,train,sub-03,575,210,rsa,0.008872373960912228
sub-09,V3,VVC,train,sub-03,575,185,rsa,0.023709047585725784
sub-09,V3,VMV2,train,sub-03,575,108,rsa,0.038086503744125366
sub-09,V3,VMV3,train,sub-03,575,111,rsa,0.03290928155183792
sub-09,V3,VMV1,train,sub-03,575,73,rsa,0.04276018962264061
sub-09,V3,PHA2,train,sub-03,575,17,rsa,0.006912274286150932
sub-09,V3,PHA3,train,sub-03,575,86,rsa,0.015814820304512978
sub-09,V3,PH,train,sub-03,575,280,rsa,0.029944291338324547
sub-09,V4,V1,train,sub-03,616,361,rsa,0.09493015706539154
sub-09,V4,V2,train,sub-03,616,525,rsa,0.10923920571804047
sub-09,V4,V3,train,sub-03,616,361,rsa,0.14829584956169128
sub-09,V4,V4,train,sub-03,616,555,rsa,0.16950279474258423
sub-09,V4,V3A,train,sub-03,616,198,rsa,0.06635738164186478
sub-09,V4,V3B,train,sub-03,616,149,rsa,0.061392027884721756
sub-09,V4,V6,train,sub-03,616,157,rsa,0.04796304926276207
sub-09,V4,V6A,train,sub-03,616,68,rsa,0.03848661109805107
sub-09,V4,V7,train,sub-03,616,88,rsa,0.05276164039969444
sub-09,V4,V8,train,sub-03,616,111,rsa,0.12696443498134613
sub-09,V4,FFC,train,sub-03,616,301,rsa,0.11427967995405197
sub-09,V4,PIT,train,sub-03,616,105,rsa,0.08894025534391403
sub-09,V4,IPS1,train,sub-03,616,123,rsa,0.02953932248055935
sub-09,V4,MST,train,sub-03,616,147,rsa,0.08798803389072418
sub-09,V4,MT,train,sub-03,616,98,rsa,0.09933915734291077
sub-09,V4,FST,train,sub-03,616,166,rsa,0.05746173858642578
sub-09,V4,LO1,train,sub-03,616,74,rsa,0.11734077334403992
sub-09,V4,LO2,train,sub-03,616,75,rsa,0.06031239032745361
sub-09,V4,LO3,train,sub-03,616,124,rsa,0.11353015899658203
sub-09,V4,V7,train,sub-03,616,88,rsa,0.05276164039969444
sub-09,V4,IP0,train,sub-03,616,110,rsa,0.040481917560100555
sub-09,V4,IP1,train,sub-03,616,17,rsa,0.008336024358868599
sub-09,V4,MIP,train,sub-03,616,176,rsa,0.03313459828495979
sub-09,V4,VIP,train,sub-03,616,150,rsa,0.026194950565695763
sub-09,V4,LIPd,train,sub-03,616,22,rsa,0.005261403042823076
sub-09,V4,LIPv,train,sub-03,616,178,rsa,0.022281164303421974
sub-09,V4,AIP,train,sub-03,616,121,rsa,0.00639881519600749
sub-09,V4,7Pm,train,sub-03,616,23,rsa,0.008762802928686142
sub-09,V4,7PL,train,sub-03,616,32,rsa,0.009626723825931549
sub-09,V4,7PC,train,sub-03,616,241,rsa,0.009873679839074612
sub-09,V4,7Am,train,sub-03,616,115,rsa,0.012960554100573063
