model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-03,V1,V1,train,sub-07,linear_predictivity,361,420,0.05349476212460582,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14518595708983065,1.0735897972036705,0.8545561149300853,0.9421590967725649
sub-03,V1,V1,test,sub-07,linear_predictivity,361,420,0.08760729056367801,"[0.08811455120952573, 0.09817162052823006, 0.08071051053390217, 0.08482182405266038, 0.0862179464940717]",,,,,
sub-03,V1,V2,train,sub-07,linear_predictivity,361,470,0.05327801195980101,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14803634358198084,1.0694649375646708,0.8516625224206184,0.941700531245042
sub-03,V1,V2,test,sub-07,linear_predictivity,361,470,0.1250987032003095,"[0.12579425218852275, 0.13594655148220622, 0.1233546688188988, 0.11819667681286433, 0.12220136669905542]",,,,,
sub-03,V1,V3,train,sub-07,linear_predictivity,361,348,0.03626714639304312,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1338234925646064,1.0811744810160229,0.865809141151958,0.957546058741177
sub-03,V1,V3,test,sub-07,linear_predictivity,361,348,0.090239994966483,"[0.09372674720347986, 0.10298679469146335, 0.08591283078915718, 0.0814005404384904, 0.08717306170982414]",,,,,
sub-03,V1,V4,train,sub-07,linear_predictivity,361,451,0.019803943176665464,,"[10000.0, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.09986151706782473,1.0906041199212164,0.8996274297596134,0.9743552136402217
sub-03,V1,V4,test,sub-07,linear_predictivity,361,451,0.04326479321233982,"[0.03368798127278452, 0.056792619702636146, 0.03442040884097929, 0.04026739859032307, 0.051155557654976105]",,,,,
sub-03,V1,V3A,train,sub-07,linear_predictivity,361,55,0.006944067481102319,,"[10000.0, 3162.277660168379, 10000.0, 10000.0, 10000.0]",0.07061825653022295,1.0986012083428158,0.9288856086476341,0.986539854122978
sub-03,V1,V3A,test,sub-07,linear_predictivity,361,55,0.050949959785501084,"[0.043689340836302576, 0.06968119417959208, 0.05214982037929582, 0.04132820506970442, 0.047901238462610525]",,,,,
sub-03,V1,V3B,train,sub-07,linear_predictivity,361,103,0.0310662857945198,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13155482198825194,1.0811578428905269,0.86811175775553,0.9622988363146383
sub-03,V1,V3B,test,sub-07,linear_predictivity,361,103,0.11921090412075837,"[0.1216610114005511, 0.11590380893245102, 0.11717107831015618, 0.12401829500983448, 0.11730032695079907]",,,,,
sub-03,V1,V6,train,sub-07,linear_predictivity,361,94,-0.0012991101260722091,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.050609718588132145,1.1172582978740864,0.9489378209290076,0.9936816168999207
sub-03,V1,V6,test,sub-07,linear_predictivity,361,94,-0.006774792518120801,"[-0.007149211913563733, -0.008831930536788471, -0.007158935151492436, -0.005007391883228537, -0.005726493105530823]",,,,,
sub-03,V1,V6A,train,sub-07,linear_predictivity,361,63,0.0013932245027431648,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.05340019988987257,1.1090508917654998,0.946156879962093,0.990684034435611
sub-03,V1,V6A,test,sub-07,linear_predictivity,361,63,0.015964428749681146,"[0.01315178209038122, 0.01342150844364591, 0.0177950096576178, 0.013434684923442424, 0.022019158633318388]",,,,,
sub-03,V1,V7,train,sub-07,linear_predictivity,361,37,0.00329448875612799,,"[10000.0, 3162.277660168379, 10000.0, 10000.0, 10000.0]",0.06845298691286573,1.1039268772947801,0.930955704309184,0.9886481738452225
sub-03,V1,V7,test,sub-07,linear_predictivity,361,37,0.019692950095504987,"[0.014811412861099578, 0.025330658772690383, 0.018296511408681212, 0.011700532354379874, 0.028325635080673886]",,,,,
sub-03,V1,V8,train,sub-07,linear_predictivity,361,80,0.02641497905200667,,"[10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12035238469396163,1.0816484811978344,0.8791209453163219,0.9656558633114672
sub-03,V1,V8,test,sub-07,linear_predictivity,361,80,0.07112690065623607,"[0.050640205342390776, 0.07541690728821786, 0.07635311160984815, 0.0717343424877501, 0.0814899365529735]",,,,,
sub-03,V1,FFC,train,sub-07,linear_predictivity,361,265,0.021964625693654444,,"[10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11240597959375558,1.0886818795329494,0.8872776965788965,0.972843158289835
sub-03,V1,FFC,test,sub-07,linear_predictivity,361,265,0.046314652181874034,"[0.026163766391931378, 0.04731188414075343, 0.05565929754649746, 0.04304772671379502, 0.059390586116392884]",,,,,
sub-03,V1,PIT,train,sub-07,linear_predictivity,361,101,0.04468164955383408,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13810848312674845,1.0874653568984403,0.861579881062894,0.9500009554857263
sub-03,V1,PIT,test,sub-07,linear_predictivity,361,101,0.030241721887357714,"[0.02424555619020673, 0.032978879934122234, 0.03260764127173836, 0.024759914659494904, 0.036616617381226346]",,,,,
sub-03,V1,IPS1,train,sub-07,linear_predictivity,361,191,-0.004481332556305505,,"[10000.0, 10000.0, 10000.0, 10000.0, 31622.776601683796]",0.04407768640257312,1.1082938077520224,0.9556680986613852,0.9973837247555934
sub-03,V1,IPS1,test,sub-07,linear_predictivity,361,191,0.0306679010158973,"[0.034390421377178945, 0.02558437807051617, 0.04005498169229752, 0.03551738419082023, 0.01779233974867365]",,,,,
sub-03,V1,MST,train,sub-07,linear_predictivity,361,149,0.03557890703037402,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13051386379207902,1.0876779399722187,0.8692848290309204,0.9608026065826547
sub-03,V1,MST,test,sub-07,linear_predictivity,361,149,0.051703182980045836,"[0.045453622385883914, 0.04306005168556881, 0.05303806896661779, 0.05396131227869475, 0.06300285958346395]",,,,,
sub-03,V1,MT,train,sub-07,linear_predictivity,361,100,0.04825037709257265,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14231790487805276,1.0713738384819762,0.8574619121390391,0.9480481931939864
sub-03,V1,MT,test,sub-07,linear_predictivity,361,100,0.05413016923297422,"[0.04865876088131396, 0.056268089616875294, 0.05849478730421665, 0.0460991101862174, 0.06113009817624779]",,,,,
sub-03,V1,FST,train,sub-07,linear_predictivity,361,167,0.004070068277442796,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.05439314117789899,1.1085392005374182,0.9452469365648186,0.989687498043631
sub-03,V1,FST,test,sub-07,linear_predictivity,361,167,0.023730652548914648,"[0.025491800946800404, 0.012000632191353644, 0.020686690181755903, 0.02918860262734872, 0.03128553679731457]",,,,,
sub-03,V1,LO1,train,sub-07,linear_predictivity,361,80,0.041694856900401256,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14094806745764887,1.0770254740792575,0.858598866585434,0.9491100568594615
