model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-03,V1,V1,train,sub-07,361,420,rsa,0.07901865243911743
sub-03,V1,V2,train,sub-07,361,470,rsa,0.0795849859714508
sub-03,V1,V3,train,sub-07,361,348,rsa,0.05612711235880852
sub-03,V1,V4,train,sub-07,361,451,rsa,0.059529148042201996
sub-03,V1,V3A,train,sub-07,361,55,rsa,0.010556329973042011
sub-03,V1,V3B,train,sub-07,361,103,rsa,0.026867501437664032
sub-03,V1,V6,train,sub-07,361,94,rsa,0.019266901537775993
sub-03,V1,V6A,train,sub-07,361,63,rsa,0.01795550063252449
sub-03,V1,V7,train,sub-07,361,37,rsa,0.011189443059265614
sub-03,V1,V8,train,sub-07,361,80,rsa,0.03833144158124924
sub-03,V1,FFC,train,sub-07,361,265,rsa,0.03081071935594082
sub-03,V1,PIT,train,sub-07,361,101,rsa,0.03846196457743645
sub-03,V1,IPS1,train,sub-07,361,191,rsa,0.012767171487212181
sub-03,V1,MST,train,sub-07,361,149,rsa,0.04746024310588837
sub-03,V1,MT,train,sub-07,361,100,rsa,0.03809509798884392
sub-03,V1,FST,train,sub-07,361,167,rsa,0.018272630870342255
sub-03,V1,LO1,train,sub-07,361,80,rsa,0.03043917566537857
sub-03,V1,LO2,train,sub-07,361,67,rsa,0.04056531563401222
sub-03,V1,LO3,train,sub-07,361,125,rsa,0.04096435382962227
sub-03,V1,V7,train,sub-07,361,37,rsa,0.011189443059265614
sub-03,V1,IP0,train,sub-07,361,73,rsa,0.022124428302049637
sub-03,V1,IP1,train,sub-07,361,94,rsa,-6.377694080583751e-05
sub-03,V1,MIP,train,sub-07,361,71,rsa,0.00440592598170042
sub-03,V1,VIP,train,sub-07,361,91,rsa,0.004541648086160421
sub-03,V1,LIPd,train,sub-07,361,65,rsa,0.0025798087008297443
sub-03,V1,LIPv,train,sub-07,361,95,rsa,0.0023178830742836
sub-03,V1,AIP,train,sub-07,361,224,rsa,0.0019129550782963634
sub-03,V1,7Pm,train,sub-07,361,5,rsa,0.00016808048530947417
sub-03,V1,7PL,train,sub-07,361,40,rsa,0.003705995623022318
sub-03,V1,7PC,train,sub-07,361,153,rsa,0.0023808381520211697
sub-03,V1,7Am,train,sub-07,361,78,rsa,0.0029639939311891794
sub-03,V1,7AL,train,sub-07,361,64,rsa,-4.594087295117788e-05
sub-03,V1,VVC,train,sub-07,361,157,rsa,0.03930453583598137
sub-03,V1,VMV2,train,sub-07,361,66,rsa,0.022883709520101547
sub-03,V1,VMV3,train,sub-07,361,82,rsa,0.023457778617739677
sub-03,V1,VMV1,train,sub-07,361,27,rsa,0.019724857062101364
sub-03,V1,PHA2,train,sub-07,361,55,rsa,0.016283055767416954
sub-03,V1,PHA3,train,sub-07,361,149,rsa,0.051558688282966614
sub-03,V1,PH,train,sub-07,361,304,rsa,0.016829058527946472
sub-03,V2,V1,train,sub-07,525,420,rsa,0.06372682750225067
sub-03,V2,V2,train,sub-07,525,470,rsa,0.09807156026363373
sub-03,V2,V3,train,sub-07,525,348,rsa,0.07327058166265488
sub-03,V2,V4,train,sub-07,525,451,rsa,0.060406606644392014
sub-03,V2,V3A,train,sub-07,525,55,rsa,0.021942175924777985
sub-03,V2,V3B,train,sub-07,525,103,rsa,0.02252841182053089
sub-03,V2,V6,train,sub-07,525,94,rsa,0.03124590963125229
sub-03,V2,V6A,train,sub-07,525,63,rsa,0.025129733607172966
sub-03,V2,V7,train,sub-07,525,37,rsa,0.011963358148932457
sub-03,V2,V8,train,sub-07,525,80,rsa,0.038467660546302795
sub-03,V2,FFC,train,sub-07,525,265,rsa,0.023728132247924805
sub-03,V2,PIT,train,sub-07,525,101,rsa,0.03608040511608124
sub-03,V2,IPS1,train,sub-07,525,191,rsa,0.013555986806750298
sub-03,V2,MST,train,sub-07,525,149,rsa,0.04701029881834984
sub-03,V2,MT,train,sub-07,525,100,rsa,0.034510210156440735
sub-03,V2,FST,train,sub-07,525,167,rsa,0.019455723464488983
sub-03,V2,LO1,train,sub-07,525,80,rsa,0.030147720128297806
sub-03,V2,LO2,train,sub-07,525,67,rsa,0.03389912098646164
sub-03,V2,LO3,train,sub-07,525,125,rsa,0.039850831031799316
sub-03,V2,V7,train,sub-07,525,37,rsa,0.011963358148932457
sub-03,V2,IP0,train,sub-07,525,73,rsa,0.019961824640631676
sub-03,V2,IP1,train,sub-07,525,94,rsa,0.0009728837758302689
sub-03,V2,MIP,train,sub-07,525,71,rsa,0.004522636067122221
sub-03,V2,VIP,train,sub-07,525,91,rsa,0.006850589998066425
sub-03,V2,LIPd,train,sub-07,525,65,rsa,0.0017595032695680857
sub-03,V2,LIPv,train,sub-07,525,95,rsa,0.005042258184403181
sub-03,V2,AIP,train,sub-07,525,224,rsa,0.001838835421949625
sub-03,V2,7Pm,train,sub-07,525,5,rsa,-0.0005631627864204347
sub-03,V2,7PL,train,sub-07,525,40,rsa,0.003333427244797349
sub-03,V2,7PC,train,sub-07,525,153,rsa,0.004150445573031902
sub-03,V2,7Am,train,sub-07,525,78,rsa,0.0020974071230739355
sub-03,V2,7AL,train,sub-07,525,64,rsa,0.0014818502822890878
sub-03,V2,VVC,train,sub-07,525,157,rsa,0.033679232001304626
sub-03,V2,VMV2,train,sub-07,525,66,rsa,0.020557105541229248
sub-03,V2,VMV3,train,sub-07,525,82,rsa,0.029812460765242577
sub-03,V2,VMV1,train,sub-07,525,27,rsa,0.02250787243247032
sub-03,V2,PHA2,train,sub-07,525,55,rsa,0.013385684229433537
sub-03,V2,PHA3,train,sub-07,525,149,rsa,0.038101062178611755
sub-03,V2,PH,train,sub-07,525,304,rsa,0.013818363659083843
sub-03,V3,V1,train,sub-07,361,420,rsa,0.059016045182943344
sub-03,V3,V2,train,sub-07,361,470,rsa,0.08204779773950577
sub-03,V3,V3,train,sub-07,361,348,rsa,0.07058756798505783
sub-03,V3,V4,train,sub-07,361,451,rsa,0.06935487687587738
sub-03,V3,V3A,train,sub-07,361,55,rsa,0.010639543645083904
sub-03,V3,V3B,train,sub-07,361,103,rsa,0.01747013069689274
sub-03,V3,V6,train,sub-07,361,94,rsa,0.02305225282907486
sub-03,V3,V6A,train,sub-07,361,63,rsa,0.022335810586810112
sub-03,V3,V7,train,sub-07,361,37,rsa,0.01294933445751667
sub-03,V3,V8,train,sub-07,361,80,rsa,0.042445145547389984
sub-03,V3,FFC,train,sub-07,361,265,rsa,0.041606344282627106
sub-03,V3,PIT,train,sub-07,361,101,rsa,0.05114462599158287
sub-03,V3,IPS1,train,sub-07,361,191,rsa,0.009842971339821815
sub-03,V3,MST,train,sub-07,361,149,rsa,0.047327909618616104
sub-03,V3,MT,train,sub-07,361,100,rsa,0.04255962371826172
sub-03,V3,FST,train,sub-07,361,167,rsa,0.02986011654138565
sub-03,V3,LO1,train,sub-07,361,80,rsa,0.04824276641011238
sub-03,V3,LO2,train,sub-07,361,67,rsa,0.04535732418298721
sub-03,V3,LO3,train,sub-07,361,125,rsa,0.05008944496512413
sub-03,V3,V7,train,sub-07,361,37,rsa,0.01294933445751667
sub-03,V3,IP0,train,sub-07,361,73,rsa,0.012535194866359234
sub-03,V3,IP1,train,sub-07,361,94,rsa,-4.0983548387885094e-05
sub-03,V3,MIP,train,sub-07,361,71,rsa,0.002460090210661292
sub-03,V3,VIP,train,sub-07,361,91,rsa,0.005850028712302446
sub-03,V3,LIPd,train,sub-07,361,65,rsa,-0.00010425700747873634
sub-03,V3,LIPv,train,sub-07,361,95,rsa,0.005335554014891386
sub-03,V3,AIP,train,sub-07,361,224,rsa,0.0030114862602204084
sub-03,V3,7Pm,train,sub-07,361,5,rsa,0.00031023292103782296
sub-03,V3,7PL,train,sub-07,361,40,rsa,0.0017366361571475863
sub-03,V3,7PC,train,sub-07,361,153,rsa,0.006756561808288097
sub-03,V3,7Am,train,sub-07,361,78,rsa,0.005291304551064968
sub-03,V3,7AL,train,sub-07,361,64,rsa,0.001446169801056385
sub-03,V3,VVC,train,sub-07,361,157,rsa,0.030950967222452164
sub-03,V3,VMV2,train,sub-07,361,66,rsa,0.021997863426804543
sub-03,V3,VMV3,train,sub-07,361,82,rsa,0.028136683627963066
sub-03,V3,VMV1,train,sub-07,361,27,rsa,0.014685088768601418
sub-03,V3,PHA2,train,sub-07,361,55,rsa,0.004539955407381058
sub-03,V3,PHA3,train,sub-07,361,149,rsa,0.023721950128674507
sub-03,V3,PH,train,sub-07,361,304,rsa,0.022553689777851105
