model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-01,V1,V1,train,sub-05,linear_predictivity,1221,608,0.07120272130980183,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.24922505995972327,1.2924545605441025,0.7505585223096922,0.924546502164308
sub-01,V1,V1,test,sub-05,linear_predictivity,1221,608,0.13115666680980403,"[0.1367171346769025, 0.12788751897863468, 0.1338995735219924, 0.13220687744591858, 0.12507222942557203]",,,,,
sub-01,V1,V2,train,sub-05,linear_predictivity,1221,559,0.057559411611184,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23772259925896466,1.312892868179762,0.7620089042265338,0.9372828642764921
sub-01,V1,V2,test,sub-05,linear_predictivity,1221,559,0.15321975680821245,"[0.15522594928087846, 0.15776794761239857, 0.15360862999664168, 0.15213909612810889, 0.1473571610230347]",,,,,
sub-01,V1,V3,train,sub-05,linear_predictivity,1221,451,0.05024597933275104,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23009245145027957,1.3227922881555374,0.7697004029983734,0.9457198930415753
sub-01,V1,V3,test,sub-05,linear_predictivity,1221,451,0.12674097903099163,"[0.12558554240158737, 0.13610304822893096, 0.12999088037329543, 0.12669182124573963, 0.11533360290540474]",,,,,
sub-01,V1,V4,train,sub-05,linear_predictivity,1221,564,0.04706800601417381,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2278183571883373,1.321390811162278,0.771975947526796,0.9488831224299699
sub-01,V1,V4,test,sub-05,linear_predictivity,1221,564,0.1256244194935458,"[0.12135193732116803, 0.1301889228019915, 0.12860315285665047, 0.12670219959640583, 0.12127588489151324]",,,,,
sub-01,V1,V3A,train,sub-05,linear_predictivity,1221,224,0.009636951915061942,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.09898098968459303,1.3674841878862927,0.9007546853404886,0.9858497345210229
sub-01,V1,V3A,test,sub-05,linear_predictivity,1221,224,0.020244187435509656,"[0.019752649233872804, 0.026337145589757565, 0.01911258140894565, 0.020086232578579107, 0.01593232836639315]",,,,,
sub-01,V1,V3B,train,sub-05,linear_predictivity,1221,136,0.031753542664868954,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.11925091854952616,1.3269583113294035,0.8805142160783325,0.9641812221671927
sub-01,V1,V3B,test,sub-05,linear_predictivity,1221,136,0.07773116943628051,"[0.07447953007978889, 0.08228963523424809, 0.07770103852369085, 0.07391112014837813, 0.08027452319529663]",,,,,
sub-01,V1,V6,train,sub-05,linear_predictivity,1221,115,0.01730115940450514,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.10605781646924059,1.3605632270180952,0.8937253261609838,0.9789684554127922
sub-01,V1,V6,test,sub-05,linear_predictivity,1221,115,0.06719470456469365,"[0.07390143226741777, 0.06608043502720204, 0.06041801834286786, 0.06981377768791992, 0.06575985949806064]",,,,,
