model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-01,V1,V1,train,sub-05,1221,608,rsa,0.07050567120313644
sub-01,V1,V2,train,sub-05,1221,559,rsa,0.07682471722364426
sub-01,V1,V3,train,sub-05,1221,451,rsa,0.05743373557925224
sub-01,V1,V4,train,sub-05,1221,564,rsa,0.047463562339544296
sub-01,V1,V3A,train,sub-05,1221,224,rsa,0.0222135242074728
sub-01,V1,V3B,train,sub-05,1221,136,rsa,0.01906706392765045
sub-01,V1,V6,train,sub-05,1221,115,rsa,0.021162647753953934
sub-01,V1,V6A,train,sub-05,1221,85,rsa,0.016891809180378914
sub-01,V1,V7,train,sub-05,1221,83,rsa,0.017143849283456802
sub-01,V1,V8,train,sub-05,1221,110,rsa,0.02425607293844223
sub-01,V1,FFC,train,sub-05,1221,263,rsa,0.01902756653726101
sub-01,V1,PIT,train,sub-05,1221,107,rsa,0.029323874041438103
sub-01,V1,IPS1,train,sub-05,1221,236,rsa,0.023198718205094337
sub-01,V1,MST,train,sub-05,1221,144,rsa,0.019105296581983566
sub-01,V1,MT,train,sub-05,1221,100,rsa,0.024066228419542313
sub-01,V1,FST,train,sub-05,1221,172,rsa,0.02393626980483532
sub-01,V1,LO1,train,sub-05,1221,80,rsa,0.020950909703969955
sub-01,V1,LO2,train,sub-05,1221,61,rsa,0.017261454835534096
sub-01,V1,LO3,train,sub-05,1221,123,rsa,0.022378861904144287
sub-01,V1,V7,train,sub-05,1221,83,rsa,0.017143849283456802
sub-01,V1,IP0,train,sub-05,1221,192,rsa,0.024987760931253433
sub-01,V1,IP1,train,sub-05,1221,46,rsa,0.0059415074065327644
sub-01,V1,MIP,train,sub-05,1221,256,rsa,0.01674318127334118
sub-01,V1,VIP,train,sub-05,1221,189,rsa,0.008646653033792973
sub-01,V1,LIPd,train,sub-05,1221,38,rsa,0.00689052976667881
sub-01,V1,LIPv,train,sub-05,1221,208,rsa,0.008884420618414879
sub-01,V1,AIP,train,sub-05,1221,260,rsa,0.00436196057125926
sub-01,V1,7Pm,train,sub-05,1221,7,rsa,0.0028608667198568583
sub-01,V1,7PL,train,sub-05,1221,91,rsa,0.008240394294261932
sub-01,V1,7PC,train,sub-05,1221,184,rsa,0.003821054007858038
sub-01,V1,7Am,train,sub-05,1221,120,rsa,0.009822511114180088
sub-01,V1,7AL,train,sub-05,1221,235,rsa,0.010800071991980076
sub-01,V1,VVC,train,sub-05,1221,174,rsa,0.02087525464594364
sub-01,V1,VMV2,train,sub-05,1221,117,rsa,0.021577855572104454
sub-01,V1,VMV3,train,sub-05,1221,106,rsa,0.022903211414813995
sub-01,V1,VMV1,train,sub-05,1221,43,rsa,0.012814255431294441
sub-01,V1,PHA2,train,sub-05,1221,50,rsa,0.010935778729617596
sub-01,V1,PHA3,train,sub-05,1221,147,rsa,0.021472180262207985
sub-01,V1,PH,train,sub-05,1221,359,rsa,0.028641346842050552
sub-01,V2,V1,train,sub-05,925,608,rsa,0.08333957940340042
sub-01,V2,V2,train,sub-05,925,559,rsa,0.1018674224615097
sub-01,V2,V3,train,sub-05,925,451,rsa,0.07782302051782608
sub-01,V2,V4,train,sub-05,925,564,rsa,0.06029628962278366
sub-01,V2,V3A,train,sub-05,925,224,rsa,0.03133758530020714
sub-01,V2,V3B,train,sub-05,925,136,rsa,0.025819558650255203
sub-01,V2,V6,train,sub-05,925,115,rsa,0.028909822925925255
sub-01,V2,V6A,train,sub-05,925,85,rsa,0.020028458908200264
sub-01,V2,V7,train,sub-05,925,83,rsa,0.024568572640419006
sub-01,V2,V8,train,sub-05,925,110,rsa,0.03600362688302994
sub-01,V2,FFC,train,sub-05,925,263,rsa,0.03072214499115944
sub-01,V2,PIT,train,sub-05,925,107,rsa,0.032040372490882874
sub-01,V2,IPS1,train,sub-05,925,236,rsa,0.03388042375445366
sub-01,V2,MST,train,sub-05,925,144,rsa,0.020861269906163216
sub-01,V2,MT,train,sub-05,925,100,rsa,0.02787003479897976
sub-01,V2,FST,train,sub-05,925,172,rsa,0.033019278198480606
sub-01,V2,LO1,train,sub-05,925,80,rsa,0.032470978796482086
sub-01,V2,LO2,train,sub-05,925,61,rsa,0.025172024965286255
sub-01,V2,LO3,train,sub-05,925,123,rsa,0.029904805123806
sub-01,V2,V7,train,sub-05,925,83,rsa,0.024568572640419006
sub-01,V2,IP0,train,sub-05,925,192,rsa,0.03510680049657822
sub-01,V2,IP1,train,sub-05,925,46,rsa,0.009988450445234776
sub-01,V2,MIP,train,sub-05,925,256,rsa,0.02283572405576706
sub-01,V2,VIP,train,sub-05,925,189,rsa,0.014569723047316074
sub-01,V2,LIPd,train,sub-05,925,38,rsa,0.010035951621830463
sub-01,V2,LIPv,train,sub-05,925,208,rsa,0.011326470412313938
sub-01,V2,AIP,train,sub-05,925,260,rsa,0.00407271645963192
sub-01,V2,7Pm,train,sub-05,925,7,rsa,0.005782762076705694
sub-01,V2,7PL,train,sub-05,925,91,rsa,0.009001743979752064
sub-01,V2,7PC,train,sub-05,925,184,rsa,0.004733334761112928
sub-01,V2,7Am,train,sub-05,925,120,rsa,0.014569072984158993
sub-01,V2,7AL,train,sub-05,925,235,rsa,0.013889532536268234
sub-01,V2,VVC,train,sub-05,925,174,rsa,0.03155876323580742
sub-01,V2,VMV2,train,sub-05,925,117,rsa,0.027868501842021942
sub-01,V2,VMV3,train,sub-05,925,106,rsa,0.028214730322360992
sub-01,V2,VMV1,train,sub-05,925,43,rsa,0.01754973828792572
sub-01,V2,PHA2,train,sub-05,925,50,rsa,0.015883760526776314
sub-01,V2,PHA3,train,sub-05,925,147,rsa,0.03104887716472149
sub-01,V2,PH,train,sub-05,925,359,rsa,0.04089607298374176
sub-01,V3,V1,train,sub-05,621,608,rsa,0.09169290959835052
sub-01,V3,V2,train,sub-05,621,559,rsa,0.10626567155122757
sub-01,V3,V3,train,sub-05,621,451,rsa,0.09849270433187485
sub-01,V3,V4,train,sub-05,621,564,rsa,0.08691947907209396
sub-01,V3,V3A,train,sub-05,621,224,rsa,0.040544457733631134
sub-01,V3,V3B,train,sub-05,621,136,rsa,0.031445663422346115
sub-01,V3,V6,train,sub-05,621,115,rsa,0.02570200152695179
sub-01,V3,V6A,train,sub-05,621,85,rsa,0.025884170085191727
sub-01,V3,V7,train,sub-05,621,83,rsa,0.036010269075632095
sub-01,V3,V8,train,sub-05,621,110,rsa,0.051314715296030045
