model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-07,V1,V1,train,sub-05,linear_predictivity,420,608,0.05166355968715855,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13443726630829272,1.0734000102870058,0.8653287453415913,0.9443615198622088
sub-07,V1,V1,test,sub-05,linear_predictivity,420,608,0.08990747258486109,"[0.09665172146724028, 0.09306435508498277, 0.08970632601675976, 0.08229777601454902, 0.08781718434077364]",,,,,
sub-07,V1,V2,train,sub-05,linear_predictivity,420,559,0.03430462265568194,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11913627146823784,1.087920926695158,0.8806236122275102,0.9614151496705133
sub-07,V1,V2,test,sub-05,linear_predictivity,420,559,0.08802636750227195,"[0.08465637528375793, 0.09308928112444623, 0.08477920838462569, 0.08720895277760062, 0.09039801994092925]",,,,,
sub-07,V1,V3,train,sub-05,linear_predictivity,420,451,0.028736891340567252,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11336998687089675,1.0924884175577987,0.8864369408870717,0.9678520881011117
sub-07,V1,V3,test,sub-05,linear_predictivity,420,451,0.0561644870918348,"[0.05229374291439998, 0.05889124291103478, 0.05616277800530687, 0.05327518940886526, 0.060199482219567134]",,,,,
sub-07,V1,V4,train,sub-05,linear_predictivity,420,564,0.02809307155455909,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11388543496936179,1.0895251700782305,0.8859026957958875,0.9681934134770052
sub-07,V1,V4,test,sub-05,linear_predictivity,420,564,0.05818914478643199,"[0.057041680400320156, 0.05666281089972771, 0.05984443071142068, 0.05547861233631158, 0.06191818958437985]",,,,,
sub-07,V1,V3A,train,sub-05,linear_predictivity,420,224,-0.0031818747976782454,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.045716382661098474,1.114382698463664,0.9540283670044397,0.9987669197443669
sub-07,V1,V3A,test,sub-05,linear_predictivity,420,224,-0.007259890886019869,"[-0.012032689612772969, -0.004475914559866442, -0.00268729338944472, -0.0031000242294915267, -0.014003532638523686]",,,,,
