model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-07,V1,V1,train,sub-05,420,608,rsa,0.05259568616747856
sub-07,V1,V2,train,sub-05,420,559,rsa,0.04981999099254608
sub-07,V1,V3,train,sub-05,420,451,rsa,0.04118707403540611
sub-07,V1,V4,train,sub-05,420,564,rsa,0.0445217601954937
sub-07,V1,V3A,train,sub-05,420,224,rsa,0.018893109634518623
sub-07,V1,V3B,train,sub-05,420,136,rsa,0.02222885563969612
sub-07,V1,V6,train,sub-05,420,115,rsa,0.016961563378572464
sub-07,V1,V6A,train,sub-05,420,85,rsa,0.018714364618062973
sub-07,V1,V7,train,sub-05,420,83,rsa,0.017265433445572853
sub-07,V1,V8,train,sub-05,420,110,rsa,0.01656040921807289
sub-07,V1,FFC,train,sub-05,420,263,rsa,0.025797534734010696
sub-07,V1,PIT,train,sub-05,420,107,rsa,0.015293835662305355
sub-07,V1,IPS1,train,sub-05,420,236,rsa,0.014602419920265675
sub-07,V1,MST,train,sub-05,420,144,rsa,0.023998964577913284
sub-07,V1,MT,train,sub-05,420,100,rsa,0.01900673285126686
sub-07,V1,FST,train,sub-05,420,172,rsa,0.030177699401974678
sub-07,V1,LO1,train,sub-05,420,80,rsa,0.02053159289062023
sub-07,V1,LO2,train,sub-05,420,61,rsa,0.01781880483031273
sub-07,V1,LO3,train,sub-05,420,123,rsa,0.01750645786523819
sub-07,V1,V7,train,sub-05,420,83,rsa,0.017265433445572853
sub-07,V1,IP0,train,sub-05,420,192,rsa,0.01975085958838463
sub-07,V1,IP1,train,sub-05,420,46,rsa,0.0013054236769676208
sub-07,V1,MIP,train,sub-05,420,256,rsa,0.00895301066339016
sub-07,V1,VIP,train,sub-05,420,189,rsa,0.00674061244353652
sub-07,V1,LIPd,train,sub-05,420,38,rsa,0.004370060749351978
sub-07,V1,LIPv,train,sub-05,420,208,rsa,0.006148890126496553
sub-07,V1,AIP,train,sub-05,420,260,rsa,0.002355829579755664
sub-07,V1,7Pm,train,sub-05,420,7,rsa,0.0005581864970736206
sub-07,V1,7PL,train,sub-05,420,91,rsa,0.00162202725186944
sub-07,V1,7PC,train,sub-05,420,184,rsa,0.0030249080155044794
sub-07,V1,7Am,train,sub-05,420,120,rsa,0.004275904502719641
sub-07,V1,7AL,train,sub-05,420,235,rsa,0.0011170615907758474
sub-07,V1,VVC,train,sub-05,420,174,rsa,0.013277419842779636
sub-07,V1,VMV2,train,sub-05,420,117,rsa,0.02886487916111946
sub-07,V1,VMV3,train,sub-05,420,106,rsa,0.02529185265302658
sub-07,V1,VMV1,train,sub-05,420,43,rsa,0.01694328524172306
sub-07,V1,PHA2,train,sub-05,420,50,rsa,0.006204586010426283
sub-07,V1,PHA3,train,sub-05,420,147,rsa,0.00670622568577528
sub-07,V1,PH,train,sub-05,420,359,rsa,0.03937174752354622
sub-07,V2,V1,train,sub-05,470,608,rsa,0.05216743052005768
sub-07,V2,V2,train,sub-05,470,559,rsa,0.06254526227712631
sub-07,V2,V3,train,sub-05,470,451,rsa,0.04494867101311684
sub-07,V2,V4,train,sub-05,470,564,rsa,0.047087471932172775
sub-07,V2,V3A,train,sub-05,470,224,rsa,0.023382673040032387
sub-07,V2,V3B,train,sub-05,470,136,rsa,0.021859636530280113
sub-07,V2,V6,train,sub-05,470,115,rsa,0.019200848415493965
sub-07,V2,V6A,train,sub-05,470,85,rsa,0.021013252437114716
sub-07,V2,V7,train,sub-05,470,83,rsa,0.020873988047242165
sub-07,V2,V8,train,sub-05,470,110,rsa,0.02307792939245701
sub-07,V2,FFC,train,sub-05,470,263,rsa,0.02350641041994095
sub-07,V2,PIT,train,sub-05,470,107,rsa,0.018877090886235237
sub-07,V2,IPS1,train,sub-05,470,236,rsa,0.014987900853157043
sub-07,V2,MST,train,sub-05,470,144,rsa,0.02399304322898388
sub-07,V2,MT,train,sub-05,470,100,rsa,0.02367912046611309
sub-07,V2,FST,train,sub-05,470,172,rsa,0.031587570905685425
sub-07,V2,LO1,train,sub-05,470,80,rsa,0.0252690352499485
sub-07,V2,LO2,train,sub-05,470,61,rsa,0.019245238974690437
sub-07,V2,LO3,train,sub-05,470,123,rsa,0.020409278571605682
sub-07,V2,V7,train,sub-05,470,83,rsa,0.020873988047242165
sub-07,V2,IP0,train,sub-05,470,192,rsa,0.02134190872311592
sub-07,V2,IP1,train,sub-05,470,46,rsa,0.0033181202597916126
sub-07,V2,MIP,train,sub-05,470,256,rsa,0.007213668432086706
sub-07,V2,VIP,train,sub-05,470,189,rsa,0.008294949308037758
sub-07,V2,LIPd,train,sub-05,470,38,rsa,0.008070534095168114
sub-07,V2,LIPv,train,sub-05,470,208,rsa,0.008950035087764263
sub-07,V2,AIP,train,sub-05,470,260,rsa,0.002806844888255
sub-07,V2,7Pm,train,sub-05,470,7,rsa,0.00030417495872825384
sub-07,V2,7PL,train,sub-05,470,91,rsa,0.0011125715682283044
sub-07,V2,7PC,train,sub-05,470,184,rsa,0.0035701934248209
sub-07,V2,7Am,train,sub-05,470,120,rsa,0.006246138364076614
sub-07,V2,7AL,train,sub-05,470,235,rsa,0.0009855369571596384
sub-07,V2,VVC,train,sub-05,470,174,rsa,0.016820836812257767
sub-07,V2,VMV2,train,sub-05,470,117,rsa,0.027763746678829193
sub-07,V2,VMV3,train,sub-05,470,106,rsa,0.032563887536525726
sub-07,V2,VMV1,train,sub-05,470,43,rsa,0.01748628169298172
sub-07,V2,PHA2,train,sub-05,470,50,rsa,0.006607552524656057
sub-07,V2,PHA3,train,sub-05,470,147,rsa,0.008349211886525154
sub-07,V2,PH,train,sub-05,470,359,rsa,0.04034598171710968
sub-07,V3,V1,train,sub-05,348,608,rsa,0.03136279806494713
sub-07,V3,V2,train,sub-05,348,559,rsa,0.04100186005234718
sub-07,V3,V3,train,sub-05,348,451,rsa,0.03745594248175621
sub-07,V3,V4,train,sub-05,348,564,rsa,0.04378959536552429
sub-07,V3,V3A,train,sub-05,348,224,rsa,0.03233051672577858
sub-07,V3,V3B,train,sub-05,348,136,rsa,0.021635014563798904
sub-07,V3,V6,train,sub-05,348,115,rsa,0.02819177880883217
sub-07,V3,V6A,train,sub-05,348,85,rsa,0.029171088710427284
sub-07,V3,V7,train,sub-05,348,83,rsa,0.025908388197422028
sub-07,V3,V8,train,sub-05,348,110,rsa,0.020963964983820915
sub-07,V3,FFC,train,sub-05,348,263,rsa,0.03143882751464844
sub-07,V3,PIT,train,sub-05,348,107,rsa,0.01967480778694153
