model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-04,V1,V1,train,sub-03,linear_predictivity,523,361,0.10075539802451883,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19816149450735546,1.0711896332321422,0.8015969018479087,0.8951634150750442
sub-04,V1,V1,test,sub-03,linear_predictivity,523,361,0.2137565763453177,"[0.21222295764374885, 0.21246671896932687, 0.21699913536269472, 0.22043404112370535, 0.20666002862711283]",,,,,
sub-04,V1,V2,train,sub-03,linear_predictivity,523,525,0.10659970048800253,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2025099813267707,1.0695467845292457,0.7972274624668173,0.8886724386952094
sub-04,V1,V2,test,sub-03,linear_predictivity,523,525,0.20177223177390102,"[0.2032519273646793, 0.19735252961853803, 0.20474480952812854, 0.21193690467806656, 0.19157498768009257]",,,,,
sub-04,V1,V3,train,sub-03,linear_predictivity,523,361,0.1447013820250174,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23771666525148277,1.038739521962483,0.7620245672934138,0.8508215872934954
sub-04,V1,V3,test,sub-03,linear_predictivity,523,361,0.27043015870400466,"[0.26444271546193626, 0.26716703039066503, 0.2711601686439913, 0.2773177322079023, 0.27206314681552857]",,,,,
sub-04,V1,V4,train,sub-03,linear_predictivity,523,555,0.09176754873429428,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19000915425554382,1.0775824809041885,0.809684020463027,0.9028052542639393
sub-04,V1,V4,test,sub-03,linear_predictivity,523,555,0.1886115769568749,"[0.18804569343439226, 0.1867236157751891, 0.1896462791405661, 0.18688388568197692, 0.19175841075225014]",,,,,
sub-04,V1,V3A,train,sub-03,linear_predictivity,523,198,0.05096133896053825,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15493032727274908,1.0964226161853747,0.8447842328684538,0.943762781975407
sub-04,V1,V3A,test,sub-03,linear_predictivity,523,198,0.11194588098990914,"[0.10179908960683777, 0.11201912756273562, 0.11950088313249448, 0.11406767330522258, 0.11234263134225529]",,,,,
sub-04,V1,V3B,train,sub-03,linear_predictivity,523,149,0.0511031129200694,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15355079755233608,1.1009164645323934,0.8461359201872718,0.9433921541331021
sub-04,V1,V3B,test,sub-03,linear_predictivity,523,149,0.1412005899897138,"[0.1305070549878296, 0.13957132067399564, 0.14993509964644025, 0.13896622224234237, 0.14702325239796107]",,,,,
sub-04,V1,V6,train,sub-03,linear_predictivity,523,157,0.02795637574207837,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0]",0.12385351724988529,1.121003866898299,0.8759769864346542,0.967017991339563
sub-04,V1,V6,test,sub-03,linear_predictivity,523,157,0.09416634877415478,"[0.08941533913489895, 0.09648085680401504, 0.10225639540176808, 0.10200225615465437, 0.08067689637543753]",,,,,
sub-04,V1,V6A,train,sub-03,linear_predictivity,523,68,0.01819456844804205,,"[10000.0, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.10192798230959847,1.1337093794599593,0.8977951628970512,0.9775983670918029
sub-04,V1,V6A,test,sub-03,linear_predictivity,523,68,0.08525081963680481,"[0.07616466905966085, 0.08881903824383364, 0.07486060438069177, 0.09006640533625233, 0.09634338116358546]",,,,,
sub-04,V1,V7,train,sub-03,linear_predictivity,523,88,0.043540535490618794,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1446661731238371,1.1004991835695068,0.855016804134471,0.9503127577605787
sub-04,V1,V7,test,sub-03,linear_predictivity,523,88,0.13643801701685823,"[0.12746802953778769, 0.13780413680359907, 0.14174461896136656, 0.1282687854775349, 0.14690451430400295]",,,,,
sub-04,V1,V8,train,sub-03,linear_predictivity,523,111,0.09622643526130646,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19239507925684346,1.0786976587381374,0.8073410126959857,0.8991446233694838
