model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-04,V1,V1,train,sub-03,523,361,rsa,0.20178651809692383
sub-04,V1,V2,train,sub-03,523,525,rsa,0.18519467115402222
sub-04,V1,V3,train,sub-03,523,361,rsa,0.20767927169799805
sub-04,V1,V4,train,sub-03,523,555,rsa,0.17305786907672882
sub-04,V1,V3A,train,sub-03,523,198,rsa,0.059095971286296844
sub-04,V1,V3B,train,sub-03,523,149,rsa,0.06460525840520859
sub-04,V1,V6,train,sub-03,523,157,rsa,0.03387316316366196
sub-04,V1,V6A,train,sub-03,523,68,rsa,0.029666263610124588
sub-04,V1,V7,train,sub-03,523,88,rsa,0.040236227214336395
sub-04,V1,V8,train,sub-03,523,111,rsa,0.08251897245645523
sub-04,V1,FFC,train,sub-03,523,301,rsa,0.08133384585380554
sub-04,V1,PIT,train,sub-03,523,105,rsa,0.06665847450494766
sub-04,V1,IPS1,train,sub-03,523,123,rsa,0.02498459443449974
sub-04,V1,MST,train,sub-03,523,147,rsa,0.05744229629635811
sub-04,V1,MT,train,sub-03,523,98,rsa,0.07865283638238907
sub-04,V1,FST,train,sub-03,523,166,rsa,0.04033610224723816
sub-04,V1,LO1,train,sub-03,523,74,rsa,0.062083590775728226
sub-04,V1,LO2,train,sub-03,523,75,rsa,0.036999497562646866
sub-04,V1,LO3,train,sub-03,523,124,rsa,0.053569745272397995
sub-04,V1,V7,train,sub-03,523,88,rsa,0.040236227214336395
sub-04,V1,IP0,train,sub-03,523,110,rsa,0.027688398957252502
sub-04,V1,IP1,train,sub-03,523,17,rsa,0.0017222422175109386
sub-04,V1,MIP,train,sub-03,523,176,rsa,0.027610480785369873
sub-04,V1,VIP,train,sub-03,523,150,rsa,0.022853614762425423
sub-04,V1,LIPd,train,sub-03,523,22,rsa,0.005800335668027401
sub-04,V1,LIPv,train,sub-03,523,178,rsa,0.023454837501049042
sub-04,V1,AIP,train,sub-03,523,121,rsa,0.003368190722540021
sub-04,V1,7Pm,train,sub-03,523,23,rsa,0.007600836455821991
sub-04,V1,7PL,train,sub-03,523,32,rsa,0.01124752126634121
sub-04,V1,7PC,train,sub-03,523,241,rsa,0.00891177635639906
sub-04,V1,7Am,train,sub-03,523,115,rsa,0.007057492155581713
sub-04,V1,7AL,train,sub-03,523,210,rsa,0.007238199468702078
sub-04,V1,VVC,train,sub-03,523,185,rsa,0.03352304920554161
sub-04,V1,VMV2,train,sub-03,523,108,rsa,0.05502557009458542
sub-04,V1,VMV3,train,sub-03,523,111,rsa,0.05293850228190422
sub-04,V1,VMV1,train,sub-03,523,73,rsa,0.040882475674152374
sub-04,V1,PHA2,train,sub-03,523,17,rsa,0.007014344912022352
sub-04,V1,PHA3,train,sub-03,523,86,rsa,0.019688453525304794
sub-04,V1,PH,train,sub-03,523,280,rsa,0.04699764773249626
sub-04,V2,V1,train,sub-03,638,361,rsa,0.17226263880729675
sub-04,V2,V2,train,sub-03,638,525,rsa,0.22842513024806976
sub-04,V2,V3,train,sub-03,638,361,rsa,0.2445395588874817
sub-04,V2,V4,train,sub-03,638,555,rsa,0.18767866492271423
sub-04,V2,V3A,train,sub-03,638,198,rsa,0.07458748668432236
sub-04,V2,V3B,train,sub-03,638,149,rsa,0.0580398328602314
sub-04,V2,V6,train,sub-03,638,157,rsa,0.041195113211870193
sub-04,V2,V6A,train,sub-03,638,68,rsa,0.026685789227485657
sub-04,V2,V7,train,sub-03,638,88,rsa,0.03915208578109741
sub-04,V2,V8,train,sub-03,638,111,rsa,0.09078820794820786
sub-04,V2,FFC,train,sub-03,638,301,rsa,0.06859341263771057
sub-04,V2,PIT,train,sub-03,638,105,rsa,0.05591723695397377
sub-04,V2,IPS1,train,sub-03,638,123,rsa,0.02400892786681652
sub-04,V2,MST,train,sub-03,638,147,rsa,0.060564443469047546
sub-04,V2,MT,train,sub-03,638,98,rsa,0.07494691759347916
sub-04,V2,FST,train,sub-03,638,166,rsa,0.04037528112530708
sub-04,V2,LO1,train,sub-03,638,74,rsa,0.04920243099331856
sub-04,V2,LO2,train,sub-03,638,75,rsa,0.03400057554244995
sub-04,V2,LO3,train,sub-03,638,124,rsa,0.05437249690294266
sub-04,V2,V7,train,sub-03,638,88,rsa,0.03915208578109741
sub-04,V2,IP0,train,sub-03,638,110,rsa,0.025221578776836395
sub-04,V2,IP1,train,sub-03,638,17,rsa,0.0020277532748878
sub-04,V2,MIP,train,sub-03,638,176,rsa,0.032232534140348434
sub-04,V2,VIP,train,sub-03,638,150,rsa,0.01948964037001133
sub-04,V2,LIPd,train,sub-03,638,22,rsa,0.006595046725124121
