model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-07,V1,V1,train,sub-01,linear_predictivity,420,1221,0.020874201228397074,,"[10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.09653921391702544,1.1027642202153687,0.9034123980204185,0.9756635463257981
sub-07,V1,V1,test,sub-01,linear_predictivity,420,1221,0.01671245462571048,"[0.0008828632226832799, 0.02424581012058058, 0.028704347028618307, 0.027119922648944646, 0.0026093301077255936]",,,,,
sub-07,V1,V2,train,sub-01,linear_predictivity,420,925,0.024565601356343045,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11009685622484666,1.0906703683109975,0.8896620007828684,0.9712439431969614
sub-07,V1,V2,test,sub-01,linear_predictivity,420,925,0.0703091919016777,"[0.05623936786477505, 0.07652799132977547, 0.07700281995728657, 0.07619443786470495, 0.06558134249184645]",,,,,
sub-07,V1,V3,train,sub-01,linear_predictivity,420,621,0.0402493709628855,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12550798158265986,1.0729996741884815,0.8742252614134582,0.9552490505826066
sub-07,V1,V3,test,sub-01,linear_predictivity,420,621,0.09210867633245237,"[0.07829845460746687, 0.09691094804369874, 0.09686008886112425, 0.09807737471752326, 0.09039651543244874]",,,,,
sub-07,V1,V4,train,sub-01,linear_predictivity,420,625,0.03570021829083201,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11938190557398828,1.0796445561724055,0.8803675312448469,0.9599284462210458
sub-07,V1,V4,test,sub-01,linear_predictivity,420,625,0.11447571306587274,"[0.11541537587887826, 0.11348361490020915, 0.11367841102346007, 0.11882770295369059, 0.11097346057312558]",,,,,
sub-07,V1,V3A,train,sub-01,linear_predictivity,420,238,0.0037756850043634944,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.04633545612377843,1.1109959894181423,0.9534402408725571,0.9925260070336869
sub-07,V1,V3A,test,sub-01,linear_predictivity,420,238,0.033224832597416376,"[0.020325906307823886, 0.036322719312718244, 0.035592101985893326, 0.043149743187298945, 0.030733692193347494]",,,,,
sub-07,V1,V3B,train,sub-01,linear_predictivity,420,150,0.005099690433217246,,"[10000.0, 10000.0, 10000.0, 10000.0, 3162.277660168379]",0.06015246598350171,1.1054877662170886,0.939528146270678,0.9899531467031675
sub-07,V1,V3B,test,sub-01,linear_predictivity,420,150,0.033023681209567335,"[0.028254397567543384, 0.03334600136866754, 0.026596399468050126, 0.03088919772440312, 0.04603240991917249]",,,,,
sub-07,V1,V6,train,sub-01,linear_predictivity,420,198,-0.005036742516785719,,"[10000.0, 31622.776601683796, 31622.776601683796, 10000.0, 10000.0]",0.03423059606746031,1.1116253169376271,0.9655669674327136,1.0001936154830087
sub-07,V1,V6,test,sub-01,linear_predictivity,420,198,0.01974252029794834,"[0.011050636834841365, 0.013497251547469401, 0.014155209968504978, 0.03652116815445581, 0.023488334984470144]",,,,,
sub-07,V1,V6A,train,sub-01,linear_predictivity,420,91,0.005769307079031838,,"[10000.0, 10000.0, 10000.0, 10000.0, 3162.277660168379]",0.05839416620720428,1.1072554440808255,0.9414465271703399,0.9898318025401421
sub-07,V1,V6A,test,sub-01,linear_predictivity,420,91,0.01428723667086878,"[0.0084842020920939, 0.010761136326486403, 0.012575058441981552, 0.016598006892489074, 0.023017779601292962]",,,,,
sub-07,V1,V7,train,sub-01,linear_predictivity,420,89,0.009509072369164153,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10017961558358254,1.0963572352803888,0.8994380382741035,0.9835407066265759
sub-07,V1,V7,test,sub-01,linear_predictivity,420,89,0.04347094307860978,"[0.038680072412676514, 0.046316596978256096, 0.03917571798395575, 0.0494990234774631, 0.04368330454069745]",,,,,
sub-07,V1,V8,train,sub-01,linear_predictivity,420,112,0.02840708983706654,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11092919373868208,1.0869585628137037,0.8888349233722819,0.9672288731137029
sub-07,V1,V8,test,sub-01,linear_predictivity,420,112,0.11148039747826632,"[0.11568338918743983, 0.10674477086571084, 0.11256792767356798, 0.11311084490091942, 0.1092950547636935]",,,,,
sub-07,V1,FFC,train,sub-01,linear_predictivity,420,284,0.009740105980852702,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.05391726131977309,1.1040204785106504,0.9458508705045222,0.9864042473052104
sub-07,V1,FFC,test,sub-01,linear_predictivity,420,284,-0.01026272338774602,"[-0.010089476898866115, -0.021756576329344756, -0.005641301547332241, -0.006491336065884513, -0.007334926097302469]",,,,,
sub-07,V1,PIT,train,sub-01,linear_predictivity,420,103,0.03274178409247676,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11618778075292516,1.0886113710849208,0.8835793948897799,0.9632997445680914
sub-07,V1,PIT,test,sub-01,linear_predictivity,420,103,0.06275155678956934,"[0.07084214853112292, 0.05014825724109965, 0.06350588145046746, 0.06937386884557017, 0.0598876278795865]",,,,,
sub-07,V1,IPS1,train,sub-01,linear_predictivity,420,235,-0.0007376166326965693,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.043462301039698226,1.1122850042545642,0.9562067401652238,0.9951495381500368
sub-07,V1,IPS1,test,sub-01,linear_predictivity,420,235,0.020450362726891536,"[0.01997700313617596, 0.020573259664505152, 0.01985009163440982, 0.022966904649945944, 0.018884554549420805]",,,,,
sub-07,V1,MST,train,sub-01,linear_predictivity,420,149,0.037346879178033164,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13028407595233787,1.0610754885688762,0.8695469750760749,0.9594407366653606
sub-07,V1,MST,test,sub-01,linear_predictivity,420,149,0.09560024904387102,"[0.09939794364138466, 0.09303775224522964, 0.08986157200083948, 0.10318244110965817, 0.09252153622224306]",,,,,
sub-07,V1,MT,train,sub-01,linear_predictivity,420,100,0.046202011401629495,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.20901457478942195,1.0532467628980093,0.7907620234398383,0.9494216319657731
sub-07,V1,MT,test,sub-01,linear_predictivity,420,100,0.12455959269687597,"[0.14087981597429755, 0.1170053516707673, 0.11725687322796059, 0.1289352115411523, 0.11872071107020206]",,,,,
sub-07,V1,FST,train,sub-01,linear_predictivity,420,175,0.020138459712829394,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11061974898300483,1.0840940847559888,0.8890599726936669,0.9741103554873882
sub-07,V1,FST,test,sub-01,linear_predictivity,420,175,0.04880404004317905,"[0.048964420719966824, 0.04875156331893717, 0.048811021523288374, 0.052898400179336356, 0.04459479447436652]",,,,,
sub-07,V1,LO1,train,sub-01,linear_predictivity,420,80,0.0324018253638859,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12236026453066243,1.078155449459231,0.8773382160522468,0.9615827765603703
sub-07,V1,LO1,test,sub-01,linear_predictivity,420,80,0.09417701194957664,"[0.09777294328899457, 0.09397344305854027, 0.09529913543247168, 0.09225869852490443, 0.09158083944297227]",,,,,
sub-07,V1,LO2,train,sub-01,linear_predictivity,420,67,0.02245066550950982,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10762421123139801,1.0879712991444013,0.8921865244851365,0.9742816847082884
sub-07,V1,LO2,test,sub-01,linear_predictivity,420,67,0.037197313649410424,"[0.0463482537580736, 0.025310346043709023, 0.04314386520034596, 0.04075293391621762, 0.030431169328705893]",,,,,
sub-07,V1,LO3,train,sub-01,linear_predictivity,420,121,0.030031079555276865,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11843064080825097,1.0790167753426194,0.8812561829116119,0.9642807186250941
sub-07,V1,LO3,test,sub-01,linear_predictivity,420,121,0.07795858046298569,"[0.08329312502951804, 0.07211442520145846, 0.07630882203377735, 0.08094636141945519, 0.0771301686307194]",,,,,
sub-07,V1,V7,train,sub-01,linear_predictivity,420,89,0.009509072369164153,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10017961558358254,1.0963572352803888,0.8994380382741035,0.9835407066265759
sub-07,V1,V7,test,sub-01,linear_predictivity,420,89,0.04347094307860978,"[0.038680072412676514, 0.046316596978256096, 0.03917571798395575, 0.0494990234774631, 0.04368330454069745]",,,,,
sub-07,V1,IP0,train,sub-01,linear_predictivity,420,169,-0.004143044621594858,,"[10000.0, 10000.0, 31622.776601683796, 31622.776601683796, 10000.0]",0.032134313541980264,1.1174558936702064,0.9675480735820603,0.9999546816397353
