model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-07,V1,V1,train,sub-01,420,1221,rsa,0.06439854949712753
sub-07,V1,V2,train,sub-01,420,925,rsa,0.06402517110109329
sub-07,V1,V3,train,sub-01,420,621,rsa,0.06336606293916702
sub-07,V1,V4,train,sub-01,420,625,rsa,0.050442785024642944
sub-07,V1,V3A,train,sub-01,420,238,rsa,0.017163917422294617
sub-07,V1,V3B,train,sub-01,420,150,rsa,0.007899880409240723
sub-07,V1,V6,train,sub-01,420,198,rsa,0.014956450089812279
sub-07,V1,V6A,train,sub-01,420,91,rsa,0.018054824322462082
sub-07,V1,V7,train,sub-01,420,89,rsa,0.019319847226142883
sub-07,V1,V8,train,sub-01,420,112,rsa,0.020800262689590454
sub-07,V1,FFC,train,sub-01,420,284,rsa,0.025271287187933922
sub-07,V1,PIT,train,sub-01,420,103,rsa,0.023094018921256065
sub-07,V1,IPS1,train,sub-01,420,235,rsa,0.01235436461865902
sub-07,V1,MST,train,sub-01,420,149,rsa,0.024728922173380852
sub-07,V1,MT,train,sub-01,420,100,rsa,0.028403261676430702
sub-07,V1,FST,train,sub-01,420,175,rsa,0.038758259266614914
sub-07,V1,LO1,train,sub-01,420,80,rsa,0.027137499302625656
sub-07,V1,LO2,train,sub-01,420,67,rsa,0.015890996903181076
sub-07,V1,LO3,train,sub-01,420,121,rsa,0.04048360511660576
sub-07,V1,V7,train,sub-01,420,89,rsa,0.019319847226142883
sub-07,V1,IP0,train,sub-01,420,169,rsa,0.005961649585515261
sub-07,V1,IP1,train,sub-01,420,226,rsa,0.0024759951047599316
sub-07,V1,MIP,train,sub-01,420,296,rsa,0.005034695379436016
sub-07,V1,VIP,train,sub-01,420,203,rsa,0.012791045010089874
sub-07,V1,LIPd,train,sub-01,420,122,rsa,0.006353346165269613
sub-07,V1,LIPv,train,sub-01,420,173,rsa,0.0088190957903862
sub-07,V1,AIP,train,sub-01,420,563,rsa,0.00605706637725234
sub-07,V1,7Pm,train,sub-01,420,92,rsa,0.005377825815230608
sub-07,V1,7PL,train,sub-01,420,155,rsa,0.008323783054947853
sub-07,V1,7PC,train,sub-01,420,322,rsa,0.011877204291522503
sub-07,V1,7Am,train,sub-01,420,321,rsa,0.009929485619068146
sub-07,V1,7AL,train,sub-01,420,299,rsa,0.007667408790439367
sub-07,V1,VVC,train,sub-01,420,209,rsa,0.02445913292467594
sub-07,V1,VMV2,train,sub-01,420,115,rsa,0.013546868227422237
sub-07,V1,VMV3,train,sub-01,420,115,rsa,0.006010915152728558
sub-07,V1,VMV1,train,sub-01,420,121,rsa,0.025418365374207497
sub-07,V1,PHA2,train,sub-01,420,91,rsa,0.00440977793186903
sub-07,V1,PHA3,train,sub-01,420,182,rsa,0.00794237945228815
sub-07,V1,PH,train,sub-01,420,371,rsa,0.025320252403616905
sub-07,V2,V1,train,sub-01,470,1221,rsa,0.07498560845851898
sub-07,V2,V2,train,sub-01,470,925,rsa,0.09045122563838959
sub-07,V2,V3,train,sub-01,470,621,rsa,0.08647517114877701
sub-07,V2,V4,train,sub-01,470,625,rsa,0.061450716108083725
sub-07,V2,V3A,train,sub-01,470,238,rsa,0.031559254974126816
sub-07,V2,V3B,train,sub-01,470,150,rsa,0.014058277942240238
sub-07,V2,V6,train,sub-01,470,198,rsa,0.02464864030480385
sub-07,V2,V6A,train,sub-01,470,91,rsa,0.023248689249157906
sub-07,V2,V7,train,sub-01,470,89,rsa,0.02421044185757637
sub-07,V2,V8,train,sub-01,470,112,rsa,0.031898025423288345
sub-07,V2,FFC,train,sub-01,470,284,rsa,0.027920598164200783
sub-07,V2,PIT,train,sub-01,470,103,rsa,0.030924227088689804
sub-07,V2,IPS1,train,sub-01,470,235,rsa,0.01859164983034134
sub-07,V2,MST,train,sub-01,470,149,rsa,0.028485413640737534
sub-07,V2,MT,train,sub-01,470,100,rsa,0.027555054053664207
sub-07,V2,FST,train,sub-01,470,175,rsa,0.03902309760451317
sub-07,V2,LO1,train,sub-01,470,80,rsa,0.03519771248102188
sub-07,V2,LO2,train,sub-01,470,67,rsa,0.02227514609694481
sub-07,V2,LO3,train,sub-01,470,121,rsa,0.03564932569861412
sub-07,V2,V7,train,sub-01,470,89,rsa,0.02421044185757637
sub-07,V2,IP0,train,sub-01,470,169,rsa,0.009588425979018211
sub-07,V2,IP1,train,sub-01,470,226,rsa,0.0072108544409275055
sub-07,V2,MIP,train,sub-01,470,296,rsa,0.008765781298279762
sub-07,V2,VIP,train,sub-01,470,203,rsa,0.012640103697776794
sub-07,V2,LIPd,train,sub-01,470,122,rsa,0.012139671482145786
sub-07,V2,LIPv,train,sub-01,470,173,rsa,0.017001448199152946
sub-07,V2,AIP,train,sub-01,470,563,rsa,0.007423225790262222
sub-07,V2,7Pm,train,sub-01,470,92,rsa,0.013965465128421783
sub-07,V2,7PL,train,sub-01,470,155,rsa,0.010654555633664131
sub-07,V2,7PC,train,sub-01,470,322,rsa,0.011917157098650932
sub-07,V2,7Am,train,sub-01,470,321,rsa,0.011267660185694695
sub-07,V2,7AL,train,sub-01,470,299,rsa,0.008094028569757938
sub-07,V2,VVC,train,sub-01,470,209,rsa,0.02461174689233303
sub-07,V2,VMV2,train,sub-01,470,115,rsa,0.021576229482889175
sub-07,V2,VMV3,train,sub-01,470,115,rsa,0.007271097041666508
sub-07,V2,VMV1,train,sub-01,470,121,rsa,0.0305253267288208
sub-07,V2,PHA2,train,sub-01,470,91,rsa,0.00409002136439085
sub-07,V2,PHA3,train,sub-01,470,182,rsa,0.008493652567267418
sub-07,V2,PH,train,sub-01,470,371,rsa,0.024123338982462883
sub-07,V3,V1,train,sub-01,348,1221,rsa,0.059119101613759995
sub-07,V3,V2,train,sub-01,348,925,rsa,0.07440394163131714
sub-07,V3,V3,train,sub-01,348,621,rsa,0.07742640376091003
sub-07,V3,V4,train,sub-01,348,625,rsa,0.06466404348611832
sub-07,V3,V3A,train,sub-01,348,238,rsa,0.04210227355360985
sub-07,V3,V3B,train,sub-01,348,150,rsa,0.022769419476389885
