model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-04,V1,V1,train,sub-01,523,1221,rsa,0.12631185352802277
sub-04,V1,V2,train,sub-01,523,925,rsa,0.1461753249168396
sub-04,V1,V3,train,sub-01,523,621,rsa,0.17490988969802856
sub-04,V1,V4,train,sub-01,523,625,rsa,0.16176298260688782
sub-04,V1,V3A,train,sub-01,523,238,rsa,0.045378200709819794
sub-04,V1,V3B,train,sub-01,523,150,rsa,0.033368196338415146
sub-04,V1,V6,train,sub-01,523,198,rsa,0.021352220326662064
sub-04,V1,V6A,train,sub-01,523,91,rsa,0.033389028161764145
sub-04,V1,V7,train,sub-01,523,89,rsa,0.042142968624830246
sub-04,V1,V8,train,sub-01,523,112,rsa,0.08282780647277832
sub-04,V1,FFC,train,sub-01,523,284,rsa,0.042021989822387695
sub-04,V1,PIT,train,sub-01,523,103,rsa,0.06644399464130402
sub-04,V1,IPS1,train,sub-01,523,235,rsa,0.0427577942609787
sub-04,V1,MST,train,sub-01,523,149,rsa,0.05935561656951904
sub-04,V1,MT,train,sub-01,523,100,rsa,0.0600261464715004
sub-04,V1,FST,train,sub-01,523,175,rsa,0.042367201298475266
sub-04,V1,LO1,train,sub-01,523,80,rsa,0.07658198475837708
sub-04,V1,LO2,train,sub-01,523,67,rsa,0.04118863865733147
sub-04,V1,LO3,train,sub-01,523,121,rsa,0.08964100480079651
sub-04,V1,V7,train,sub-01,523,89,rsa,0.042142968624830246
sub-04,V1,IP0,train,sub-01,523,169,rsa,0.01834893971681595
sub-04,V1,IP1,train,sub-01,523,226,rsa,0.014596235938370228
sub-04,V1,MIP,train,sub-01,523,296,rsa,0.023285547271370888
sub-04,V1,VIP,train,sub-01,523,203,rsa,0.019220570102334023
sub-04,V1,LIPd,train,sub-01,523,122,rsa,0.01976257935166359
sub-04,V1,LIPv,train,sub-01,523,173,rsa,0.036610789597034454
sub-04,V1,AIP,train,sub-01,523,563,rsa,0.007984848693013191
sub-04,V1,7Pm,train,sub-01,523,92,rsa,0.025820819661021233
sub-04,V1,7PL,train,sub-01,523,155,rsa,0.03188485652208328
sub-04,V1,7PC,train,sub-01,523,322,rsa,0.014050368219614029
sub-04,V1,7Am,train,sub-01,523,321,rsa,0.02138909325003624
sub-04,V1,7AL,train,sub-01,523,299,rsa,0.017528368160128593
sub-04,V1,VVC,train,sub-01,523,209,rsa,0.04431222751736641
sub-04,V1,VMV2,train,sub-01,523,115,rsa,0.03830752894282341
sub-04,V1,VMV3,train,sub-01,523,115,rsa,0.030027402564883232
sub-04,V1,VMV1,train,sub-01,523,121,rsa,0.0612165592610836
sub-04,V1,PHA2,train,sub-01,523,91,rsa,0.021107904613018036
sub-04,V1,PHA3,train,sub-01,523,182,rsa,0.035138361155986786
sub-04,V1,PH,train,sub-01,523,371,rsa,0.040096715092659
sub-04,V2,V1,train,sub-01,638,1221,rsa,0.11824299395084381
sub-04,V2,V2,train,sub-01,638,925,rsa,0.16774724423885345
sub-04,V2,V3,train,sub-01,638,621,rsa,0.20028480887413025
sub-04,V2,V4,train,sub-01,638,625,rsa,0.16424383223056793
sub-04,V2,V3A,train,sub-01,638,238,rsa,0.06561850756406784
sub-04,V2,V3B,train,sub-01,638,150,rsa,0.033094923943281174
sub-04,V2,V6,train,sub-01,638,198,rsa,0.03393274173140526
sub-04,V2,V6A,train,sub-01,638,91,rsa,0.036156848073005676
sub-04,V2,V7,train,sub-01,638,89,rsa,0.03684704005718231
sub-04,V2,V8,train,sub-01,638,112,rsa,0.07201094925403595
sub-04,V2,FFC,train,sub-01,638,284,rsa,0.040918342769145966
sub-04,V2,PIT,train,sub-01,638,103,rsa,0.05448440834879875
sub-04,V2,IPS1,train,sub-01,638,235,rsa,0.0391656868159771
sub-04,V2,MST,train,sub-01,638,149,rsa,0.0656052678823471
sub-04,V2,MT,train,sub-01,638,100,rsa,0.06597118824720383
sub-04,V2,FST,train,sub-01,638,175,rsa,0.04566052556037903
sub-04,V2,LO1,train,sub-01,638,80,rsa,0.06919526308774948
sub-04,V2,LO2,train,sub-01,638,67,rsa,0.04256201535463333
sub-04,V2,LO3,train,sub-01,638,121,rsa,0.06928245723247528
sub-04,V2,V7,train,sub-01,638,89,rsa,0.03684704005718231
sub-04,V2,IP0,train,sub-01,638,169,rsa,0.02140318974852562
sub-04,V2,IP1,train,sub-01,638,226,rsa,0.011409824714064598
sub-04,V2,MIP,train,sub-01,638,296,rsa,0.023246444761753082
sub-04,V2,VIP,train,sub-01,638,203,rsa,0.020564544945955276
sub-04,V2,LIPd,train,sub-01,638,122,rsa,0.017081448808312416
sub-04,V2,LIPv,train,sub-01,638,173,rsa,0.029363565146923065
sub-04,V2,AIP,train,sub-01,638,563,rsa,0.007720903027802706
sub-04,V2,7Pm,train,sub-01,638,92,rsa,0.03202617168426514
sub-04,V2,7PL,train,sub-01,638,155,rsa,0.02579936385154724
sub-04,V2,7PC,train,sub-01,638,322,rsa,0.014208176173269749
sub-04,V2,7Am,train,sub-01,638,321,rsa,0.021648064255714417
