model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-06,V1,V1,train,sub-05,linear_predictivity,597,608,0.1232000465530705,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23614415593616864,1.1119667752360685,0.7636256912036175,0.8725817714638506
sub-06,V1,V1,test,sub-05,linear_predictivity,597,608,0.20710639775877207,"[0.21152751043334272, 0.21367617024522081, 0.2108092411647844, 0.19928151356172216, 0.20023755338879035]",,,,,
sub-06,V1,V2,train,sub-05,linear_predictivity,597,559,0.09573892949841592,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.21238769831659945,1.130454640399892,0.7873415922167698,0.8993279265658168
sub-06,V1,V2,test,sub-05,linear_predictivity,597,559,0.20932994850699468,"[0.210502803648368, 0.21304470854186885, 0.21365608576767134, 0.20765819917891765, 0.20178794539814782]",,,,,
sub-06,V1,V3,train,sub-05,linear_predictivity,597,451,0.0827101515821112,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20052755011289897,1.136893236978946,0.7992308179176433,0.9130086938497419
sub-06,V1,V3,test,sub-05,linear_predictivity,597,451,0.1726243379716214,"[0.17315737181402516, 0.17601590735061604, 0.1865301381885004, 0.1675752310972615, 0.15984304140770397]",,,,,
sub-06,V1,V4,train,sub-05,linear_predictivity,597,564,0.08006895668302651,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19730109403989313,1.139487388767451,0.8024771881594097,0.915958093692451
sub-06,V1,V4,test,sub-05,linear_predictivity,597,564,0.17441903978542977,"[0.17251393872544044, 0.16870239514914318, 0.18443623140847915, 0.17042781739788732, 0.17601481624619886]",,,,,
sub-06,V1,V3A,train,sub-05,linear_predictivity,597,224,0.018667395652147572,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.08065459604749434,1.1737775490694662,0.9190763095457355,0.9768433215798442
sub-06,V1,V3A,test,sub-05,linear_predictivity,597,224,0.01099089923343928,"[0.019235494648184692, 0.011292053120791113, 0.014021115724463145, 0.014310559514380828, -0.0039047268406233815]",,,,,
sub-06,V1,V3B,train,sub-05,linear_predictivity,597,136,0.04354829582316088,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16466342286567584,1.1609522015852123,0.835129065510267,0.9524478907062346
sub-06,V1,V3B,test,sub-05,linear_predictivity,597,136,0.10515500261238234,"[0.110885201127869, 0.09737457320869082, 0.12175818921795936, 0.09108675771495865, 0.10467029179243381]",,,,,
sub-06,V1,V6,train,sub-05,linear_predictivity,597,115,0.01840935913359417,,"[3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13393268983926415,1.1802881479443417,0.8658120124976053,0.9781240464462553
sub-06,V1,V6,test,sub-05,linear_predictivity,597,115,0.05802750816218812,"[0.06199721692946408, 0.050500132896725294, 0.06155476586350133, 0.05456519610183119, 0.061520229019418726]",,,,,
sub-06,V1,V6A,train,sub-05,linear_predictivity,597,85,0.024526680346001285,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15581965859838354,1.167269431459729,0.8438510898865363,0.9695045392437501
sub-06,V1,V6A,test,sub-05,linear_predictivity,597,85,0.08889925920041741,"[0.09836074657076482, 0.08636476174434202, 0.09752221718037513, 0.08944422255640039, 0.07280434795020473]",,,,,
sub-06,V1,V7,train,sub-05,linear_predictivity,597,83,0.026686758275130115,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15002993408969784,1.1672477422226524,0.8496492494224412,0.9675518944139121
sub-06,V1,V7,test,sub-05,linear_predictivity,597,83,0.0723133300515039,"[0.0788475999420087, 0.06828054842605945, 0.07429418146013568, 0.06948965495279721, 0.07065466547651843]",,,,,
sub-06,V1,V8,train,sub-05,linear_predictivity,597,110,0.06182974964209384,,"[10000.0, 3162.277660168379, 10000.0, 10000.0, 3162.277660168379]",0.14789123566211257,1.1537459605001246,0.851905525770389,0.9339042566805456
sub-06,V1,V8,test,sub-05,linear_predictivity,597,110,0.16538840005498023,"[0.15762246036244973, 0.16404207033387938, 0.17463990330412985, 0.16352405530047143, 0.16711351097397073]",,,,,
sub-06,V1,FFC,train,sub-05,linear_predictivity,597,263,0.014063604888721982,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.07685447661736264,1.1898933765754844,0.9229271146808828,0.9821715834238918
sub-06,V1,FFC,test,sub-05,linear_predictivity,597,263,0.0030484710378431887,"[0.00261365244384493, 2.81059503746065e-05, 0.0021447875186928955, 0.0005868924809201852, 0.009868916795383327]",,,,,
sub-06,V1,PIT,train,sub-05,linear_predictivity,597,107,0.04163088620243382,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.1512723048528038,1.1692663849972722,0.8483070994521269,0.955064473263714
sub-06,V1,PIT,test,sub-05,linear_predictivity,597,107,0.08125395540880637,"[0.08524207568537577, 0.07796613903469352, 0.08690821921337297, 0.06734449228351827, 0.08880885082707131]",,,,,
sub-06,V1,IPS1,train,sub-05,linear_predictivity,597,236,0.012313674584284052,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.07364318322081816,1.1840016373449935,0.9261634530941162,0.9843900322873494
sub-06,V1,IPS1,test,sub-05,linear_predictivity,597,236,0.05347085342866761,"[0.05443249211183422, 0.047861405282047104, 0.05949786434776131, 0.05588703548775113, 0.0496754699139443]",,,,,
sub-06,V1,MST,train,sub-05,linear_predictivity,597,144,0.04295563430818185,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16649716364261613,1.1612645668398611,0.8332860583207543,0.9529654384891547
