model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-06,V1,V1,train,sub-05,597,608,rsa,0.16614200174808502
sub-06,V1,V2,train,sub-05,597,559,rsa,0.15693199634552002
sub-06,V1,V3,train,sub-05,597,451,rsa,0.12076584249734879
sub-06,V1,V4,train,sub-05,597,564,rsa,0.11456775665283203
sub-06,V1,V3A,train,sub-05,597,224,rsa,0.041498564183712006
sub-06,V1,V3B,train,sub-05,597,136,rsa,0.04362203925848007
sub-06,V1,V6,train,sub-05,597,115,rsa,0.02668246626853943
sub-06,V1,V6A,train,sub-05,597,85,rsa,0.026539653539657593
sub-06,V1,V7,train,sub-05,597,83,rsa,0.03564850986003876
sub-06,V1,V8,train,sub-05,597,110,rsa,0.06888432800769806
sub-06,V1,FFC,train,sub-05,597,263,rsa,0.04124092683196068
sub-06,V1,PIT,train,sub-05,597,107,rsa,0.04747983440756798
sub-06,V1,IPS1,train,sub-05,597,236,rsa,0.03261958807706833
sub-06,V1,MST,train,sub-05,597,144,rsa,0.04296446964144707
sub-06,V1,MT,train,sub-05,597,100,rsa,0.046694204211235046
sub-06,V1,FST,train,sub-05,597,172,rsa,0.03853224962949753
sub-06,V1,LO1,train,sub-05,597,80,rsa,0.03885258734226227
sub-06,V1,LO2,train,sub-05,597,61,rsa,0.03156379237771034
sub-06,V1,LO3,train,sub-05,597,123,rsa,0.03856999799609184
sub-06,V1,V7,train,sub-05,597,83,rsa,0.03564850986003876
sub-06,V1,IP0,train,sub-05,597,192,rsa,0.04174491763114929
sub-06,V1,IP1,train,sub-05,597,46,rsa,0.0064086285419762135
sub-06,V1,MIP,train,sub-05,597,256,rsa,0.02041555568575859
sub-06,V1,VIP,train,sub-05,597,189,rsa,0.009982519783079624
sub-06,V1,LIPd,train,sub-05,597,38,rsa,0.010776069015264511
sub-06,V1,LIPv,train,sub-05,597,208,rsa,0.016801342368125916
sub-06,V1,AIP,train,sub-05,597,260,rsa,0.008111942559480667
sub-06,V1,7Pm,train,sub-05,597,7,rsa,0.0027264216914772987
sub-06,V1,7PL,train,sub-05,597,91,rsa,0.009810835123062134
sub-06,V1,7PC,train,sub-05,597,184,rsa,0.006232037674635649
sub-06,V1,7Am,train,sub-05,597,120,rsa,0.013960412703454494
sub-06,V1,7AL,train,sub-05,597,235,rsa,0.004319421947002411
sub-06,V1,VVC,train,sub-05,597,174,rsa,0.02907872200012207
sub-06,V1,VMV2,train,sub-05,597,117,rsa,0.04480161890387535
sub-06,V1,VMV3,train,sub-05,597,106,rsa,0.049564603716135025
sub-06,V1,VMV1,train,sub-05,597,43,rsa,0.02639761008322239
sub-06,V1,PHA2,train,sub-05,597,50,rsa,0.007709933444857597
sub-06,V1,PHA3,train,sub-05,597,147,rsa,0.021993422880768776
sub-06,V1,PH,train,sub-05,597,359,rsa,0.05276006832718849
sub-06,V2,V1,train,sub-05,631,608,rsa,0.13016346096992493
sub-06,V2,V2,train,sub-05,631,559,rsa,0.1589415967464447
sub-06,V2,V3,train,sub-05,631,451,rsa,0.11782217025756836
sub-06,V2,V4,train,sub-05,631,564,rsa,0.13511815667152405
sub-06,V2,V3A,train,sub-05,631,224,rsa,0.06164592131972313
sub-06,V2,V3B,train,sub-05,631,136,rsa,0.05528288334608078
sub-06,V2,V6,train,sub-05,631,115,rsa,0.040894411504268646
sub-06,V2,V6A,train,sub-05,631,85,rsa,0.042512863874435425
sub-06,V2,V7,train,sub-05,631,83,rsa,0.052394356578588486
sub-06,V2,V8,train,sub-05,631,110,rsa,0.07913701236248016
sub-06,V2,FFC,train,sub-05,631,263,rsa,0.0467185415327549
sub-06,V2,PIT,train,sub-05,631,107,rsa,0.05031181126832962
sub-06,V2,IPS1,train,sub-05,631,236,rsa,0.042275916785001755
sub-06,V2,MST,train,sub-05,631,144,rsa,0.05267097055912018
sub-06,V2,MT,train,sub-05,631,100,rsa,0.05723803490400314
sub-06,V2,FST,train,sub-05,631,172,rsa,0.04378313943743706
sub-06,V2,LO1,train,sub-05,631,80,rsa,0.06293807178735733
sub-06,V2,LO2,train,sub-05,631,61,rsa,0.04237368702888489
sub-06,V2,LO3,train,sub-05,631,123,rsa,0.04597241058945656
sub-06,V2,V7,train,sub-05,631,83,rsa,0.052394356578588486
sub-06,V2,IP0,train,sub-05,631,192,rsa,0.04487885162234306
sub-06,V2,IP1,train,sub-05,631,46,rsa,0.009057644754648209
sub-06,V2,MIP,train,sub-05,631,256,rsa,0.024216672405600548
sub-06,V2,VIP,train,sub-05,631,189,rsa,0.0171949602663517
sub-06,V2,LIPd,train,sub-05,631,38,rsa,0.009370330721139908
sub-06,V2,LIPv,train,sub-05,631,208,rsa,0.021898947656154633
sub-06,V2,AIP,train,sub-05,631,260,rsa,0.007339163217693567
sub-06,V2,7Pm,train,sub-05,631,7,rsa,0.005028081592172384
sub-06,V2,7PL,train,sub-05,631,91,rsa,0.009258962236344814
sub-06,V2,7PC,train,sub-05,631,184,rsa,0.007355271838605404
sub-06,V2,7Am,train,sub-05,631,120,rsa,0.020352235063910484
sub-06,V2,7AL,train,sub-05,631,235,rsa,0.00521333422511816
sub-06,V2,VVC,train,sub-05,631,174,rsa,0.03451407328248024
sub-06,V2,VMV2,train,sub-05,631,117,rsa,0.0467907078564167
sub-06,V2,VMV3,train,sub-05,631,106,rsa,0.04611080512404442
sub-06,V2,VMV1,train,sub-05,631,43,rsa,0.02422793209552765
sub-06,V2,PHA2,train,sub-05,631,50,rsa,0.0077775320969522
sub-06,V2,PHA3,train,sub-05,631,147,rsa,0.022548431530594826
sub-06,V2,PH,train,sub-05,631,359,rsa,0.05722378194332123
sub-06,V3,V1,train,sub-05,432,608,rsa,0.12070467323064804
sub-06,V3,V2,train,sub-05,432,559,rsa,0.12795192003250122
sub-06,V3,V3,train,sub-05,432,451,rsa,0.12997564673423767
sub-06,V3,V4,train,sub-05,432,564,rsa,0.13221219182014465
sub-06,V3,V3A,train,sub-05,432,224,rsa,0.057795945554971695
sub-06,V3,V3B,train,sub-05,432,136,rsa,0.05711270496249199
sub-06,V3,V6,train,sub-05,432,115,rsa,0.045214056968688965
sub-06,V3,V6A,train,sub-05,432,85,rsa,0.04243046045303345
sub-06,V3,V7,train,sub-05,432,83,rsa,0.047331515699625015
sub-06,V3,V8,train,sub-05,432,110,rsa,0.07779446989297867
sub-06,V3,FFC,train,sub-05,432,263,rsa,0.050170958042144775
sub-06,V3,PIT,train,sub-05,432,107,rsa,0.04250869154930115
sub-06,V3,IPS1,train,sub-05,432,236,rsa,0.04181956872344017
sub-06,V3,MST,train,sub-05,432,144,rsa,0.04964042082428932
sub-06,V3,MT,train,sub-05,432,100,rsa,0.05858132615685463
sub-06,V3,FST,train,sub-05,432,172,rsa,0.04103824123740196
sub-06,V3,LO1,train,sub-05,432,80,rsa,0.058170050382614136
sub-06,V3,LO2,train,sub-05,432,61,rsa,0.04029349610209465
sub-06,V3,LO3,train,sub-05,432,123,rsa,0.047370269894599915
sub-06,V3,V7,train,sub-05,432,83,rsa,0.047331515699625015
sub-06,V3,IP0,train,sub-05,432,192,rsa,0.04246821627020836
sub-06,V3,IP1,train,sub-05,432,46,rsa,0.01095691416412592
sub-06,V3,MIP,train,sub-05,432,256,rsa,0.029033608734607697
sub-06,V3,VIP,train,sub-05,432,189,rsa,0.015338544733822346
sub-06,V3,LIPd,train,sub-05,432,38,rsa,0.010033823549747467
sub-06,V3,LIPv,train,sub-05,432,208,rsa,0.02435953915119171
sub-06,V3,AIP,train,sub-05,432,260,rsa,0.011535306461155415
sub-06,V3,7Pm,train,sub-05,432,7,rsa,0.004710218403488398
sub-06,V3,7PL,train,sub-05,432,91,rsa,0.01191664393991232
sub-06,V3,7PC,train,sub-05,432,184,rsa,0.006768065504729748
sub-06,V3,7Am,train,sub-05,432,120,rsa,0.016411570832133293
sub-06,V3,7AL,train,sub-05,432,235,rsa,0.007531160023063421
sub-06,V3,VVC,train,sub-05,432,174,rsa,0.0329635813832283
sub-06,V3,VMV2,train,sub-05,432,117,rsa,0.05322442576289177
sub-06,V3,VMV3,train,sub-05,432,106,rsa,0.06250276416540146
sub-06,V3,VMV1,train,sub-05,432,43,rsa,0.02366442047059536
sub-06,V3,PHA2,train,sub-05,432,50,rsa,0.007763463072478771
sub-06,V3,PHA3,train,sub-05,432,147,rsa,0.02199091576039791
sub-06,V3,PH,train,sub-05,432,359,rsa,0.048526421189308167
sub-06,V4,V1,train,sub-05,560,608,rsa,0.10131014883518219
sub-06,V4,V2,train,sub-05,560,559,rsa,0.11892352998256683
sub-06,V4,V3,train,sub-05,560,451,rsa,0.11283984780311584
sub-06,V4,V4,train,sub-05,560,564,rsa,0.16822132468223572
sub-06,V4,V3A,train,sub-05,560,224,rsa,0.07883027195930481
sub-06,V4,V3B,train,sub-05,560,136,rsa,0.10912065953016281
sub-06,V4,V6,train,sub-05,560,115,rsa,0.05214768275618553
sub-06,V4,V6A,train,sub-05,560,85,rsa,0.07086943089962006
sub-06,V4,V7,train,sub-05,560,83,rsa,0.074175626039505
sub-06,V4,V8,train,sub-05,560,110,rsa,0.12929847836494446
sub-06,V4,FFC,train,sub-05,560,263,rsa,0.16017262637615204
sub-06,V4,PIT,train,sub-05,560,107,rsa,0.09425120055675507
sub-06,V4,IPS1,train,sub-05,560,236,rsa,0.0780700296163559
sub-06,V4,MST,train,sub-05,560,144,rsa,0.08427593111991882
