model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-01,V1,V1,train,sub-10,linear_predictivity,1221,553,0.11886137359322585,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2814284000361711,1.2534357648318475,0.7183621039735559,0.8770994209381685
sub-01,V1,V1,test,sub-10,linear_predictivity,1221,553,0.23291531201374616,"[0.23418845961814005, 0.2363113653153984, 0.23119575485770277, 0.2322953425540573, 0.23058563772343244]",,,,,
sub-01,V1,V2,train,sub-10,linear_predictivity,1221,516,0.10936552558572885,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.27607870147166835,1.2478068989132232,0.7236754781430823,0.8859456927254733
sub-01,V1,V2,test,sub-10,linear_predictivity,1221,516,0.21413165147132637,"[0.21466852822169938, 0.21720666322077886, 0.212512903129506, 0.21262036708207413, 0.2136497957025735]",,,,,
sub-01,V1,V3,train,sub-10,linear_predictivity,1221,400,0.12306911802701387,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2850496354652436,1.2245662955699428,0.7147512885979674,0.8732074536444518
sub-01,V1,V3,test,sub-10,linear_predictivity,1221,400,0.2284729523172196,"[0.2256710028174227, 0.23250323572050127, 0.2278534669812543, 0.2265255244822012, 0.2298115315847184]",,,,,
sub-01,V1,V4,train,sub-10,linear_predictivity,1221,574,0.08800088430326676,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.25648712613615576,1.2670661140738617,0.7433150940420529,0.9082986730378251
sub-01,V1,V4,test,sub-10,linear_predictivity,1221,574,0.184659240537466,"[0.18286660441504038, 0.1880103101239629, 0.18122228023081427, 0.1826087408394462, 0.18858826707806617]",,,,,
sub-01,V1,V3A,train,sub-10,linear_predictivity,1221,85,0.05293650645648084,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.13495898966810158,1.3368125687140568,0.8648288236363392,0.9434897612472988
sub-01,V1,V3A,test,sub-10,linear_predictivity,1221,85,0.13800251237939837,"[0.1337975607026171, 0.14415794873163454, 0.12921251733112615, 0.14190178567641543, 0.14094274945519858]",,,,,
sub-01,V1,V3B,train,sub-10,linear_predictivity,1221,99,0.05555377412480884,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.13782676279788983,1.3248980721848618,0.8620118721401425,0.9414446359917272
sub-01,V1,V3B,test,sub-10,linear_predictivity,1221,99,0.1242229918025328,"[0.12536488932952014, 0.12614879158590123, 0.118749484332532, 0.12995925171974393, 0.12089254204496673]",,,,,
sub-01,V1,V6,train,sub-10,linear_predictivity,1221,11,0.026419444043411334,,"[10000.0, 3162.277660168379, 10000.0, 10000.0, 10000.0]",0.1352959743321931,1.3373688330689313,0.8645415354829316,0.9703032901412326
sub-01,V1,V6,test,sub-10,linear_predictivity,1221,11,0.11075699266908334,"[0.09752931655426421, 0.1516519684956369, 0.09283067428424449, 0.10671593905321371, 0.10505706495805738]",,,,,
sub-01,V1,V6A,train,sub-10,linear_predictivity,1221,45,0.035242958186983996,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.12181113227588607,1.3541708648136357,0.8779475520492721,0.9608014677472336
sub-01,V1,V6A,test,sub-10,linear_predictivity,1221,45,0.14815229041403613,"[0.15214253664492175, 0.15589793045633935, 0.1319593102174159, 0.15070321284032137, 0.15005846191118224]",,,,,
sub-01,V1,V7,train,sub-10,linear_predictivity,1221,61,0.05793931654761845,,"[10000.0, 3162.277660168379, 3162.277660168379, 10000.0, 10000.0]",0.18106270574053404,1.310336552745677,0.818897581308762,0.9384222943526186
sub-01,V1,V7,test,sub-10,linear_predictivity,1221,61,0.1394997971951176,"[0.13575825125273325, 0.14655672853038623, 0.15064313573768945, 0.13148262556810833, 0.1330582448866707]",,,,,
sub-01,V1,V8,train,sub-10,linear_predictivity,1221,96,0.05679399003287527,,"[10000.0, 10000.0, 3162.277660168379, 10000.0, 10000.0]",0.1602768655547922,1.3011537467221206,0.8394830352842704,0.9391419455454528
sub-01,V1,V8,test,sub-10,linear_predictivity,1221,96,0.11382650142188064,"[0.10682533066945321, 0.11705210537280046, 0.1300090936806477, 0.11080691885506405, 0.10443905853143785]",,,,,
sub-01,V1,FFC,train,sub-10,linear_predictivity,1221,244,0.023551242533143144,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.1096036258970777,1.352164471626064,0.8902547837840109,0.9739490716930621
sub-01,V1,FFC,test,sub-10,linear_predictivity,1221,244,0.042854222702521365,"[0.04608118915546099, 0.04183486405709852, 0.041981002960932406, 0.03971239070970866, 0.04466166662940623]",,,,,
sub-01,V1,PIT,train,sub-10,linear_predictivity,1221,100,0.03635316965837311,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.12132307872077248,1.3472011070847396,0.8785265720153494,0.961073964934605
sub-01,V1,PIT,test,sub-10,linear_predictivity,1221,100,0.06183143397936256,"[0.0600595861814664, 0.06058255621966744, 0.05949570074458882, 0.06073949815654676, 0.06827982859454339]",,,,,
sub-01,V1,IPS1,train,sub-10,linear_predictivity,1221,166,0.02529189255699178,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.11288950388260784,1.3596656027316987,0.8868589837289294,0.9705346215083412
sub-01,V1,IPS1,test,sub-10,linear_predictivity,1221,166,0.08814370819224102,"[0.09135584547943454, 0.08658319645229974, 0.08574734593263489, 0.08811623817302039, 0.08891591492381552]",,,,,
sub-01,V1,MST,train,sub-10,linear_predictivity,1221,135,0.07204517001986264,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.24264377006861088,1.2971777988180868,0.7571635556449484,0.9242694861002386
sub-01,V1,MST,test,sub-10,linear_predictivity,1221,135,0.1701272438057178,"[0.16256397302671913, 0.1765121603833819, 0.16171598536120768, 0.1667492582588451, 0.1830948419984352]",,,,,
sub-01,V1,MT,train,sub-10,linear_predictivity,1221,86,0.04454215305336839,,"[10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20594176474020479,1.32351203767738,0.7938316347907437,0.9521372858126078
sub-01,V1,MT,test,sub-10,linear_predictivity,1221,86,0.11999411070406167,"[0.0938776937842131, 0.13138831298161607, 0.11868564602747605, 0.12529521199828655, 0.1307236887287166]",,,,,
sub-01,V1,FST,train,sub-10,linear_predictivity,1221,167,0.09875235068431254,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2635770757898362,1.2406497393181977,0.7361821977442276,0.8964811743317138
sub-01,V1,FST,test,sub-10,linear_predictivity,1221,167,0.1840235408298873,"[0.18431658398781128, 0.18629775371376964, 0.18658171664782053, 0.1762016524397067, 0.18671999736032843]",,,,,
sub-01,V1,LO1,train,sub-10,linear_predictivity,1221,78,0.05622578433292793,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.21001863249855965,1.3107214447094067,0.789491181145566,0.9404314745909943
sub-01,V1,LO1,test,sub-10,linear_predictivity,1221,78,0.1454876790217523,"[0.15832070138555476, 0.14851717291232497, 0.11132696412515775, 0.15081259925392068, 0.15846095743180327]",,,,,
sub-01,V1,LO2,train,sub-10,linear_predictivity,1221,80,0.03691756398079398,,"[3162.277660168379, 10000.0, 10000.0, 3162.277660168379, 10000.0]",0.15765681698467712,1.337617556994108,0.8419890959514195,0.9604795584046645
sub-01,V1,LO2,test,sub-10,linear_predictivity,1221,80,0.0763767219596718,"[0.08973413409861448, 0.0650131184835034, 0.0659210397490165, 0.08844662172085313, 0.07276869574637143]",,,,,
sub-01,V1,LO3,train,sub-10,linear_predictivity,1221,113,0.03606951383339967,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.1230466254937332,1.342623971776798,0.876677918031602,0.9594213082286368
sub-01,V1,LO3,test,sub-10,linear_predictivity,1221,113,0.0782954998531126,"[0.08906882802188683, 0.07534633331259072, 0.07000206933412276, 0.07621589349871306, 0.0808443750982496]",,,,,
sub-01,V1,V7,train,sub-10,linear_predictivity,1221,61,0.05793931654761845,,"[10000.0, 3162.277660168379, 3162.277660168379, 10000.0, 10000.0]",0.18106270574053404,1.310336552745677,0.818897581308762,0.9384222943526186
sub-01,V1,V7,test,sub-10,linear_predictivity,1221,61,0.1394997971951176,"[0.13575825125273325, 0.14655672853038623, 0.15064313573768945, 0.13148262556810833, 0.1330582448866707]",,,,,
sub-01,V1,IP0,train,sub-10,linear_predictivity,1221,103,0.038248977337416314,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.12218273842149896,1.3326632735733455,0.8775973395135017,0.9579318248961579
sub-01,V1,IP0,test,sub-10,linear_predictivity,1221,103,0.07875295020366571,"[0.08049078889004582, 0.07728147028718568, 0.07638463945284622, 0.08201787842947465, 0.07758997395877615]",,,,,
sub-01,V1,IP1,train,sub-10,linear_predictivity,1221,33,0.004218912398790089,,"[100000.0, 31622.776601683796, 31622.776601683796, 100000.0, 31622.776601683796]",0.036359570072728685,1.4000372026247951,0.9633812301316158,0.9930846602018828
sub-01,V1,IP1,test,sub-10,linear_predictivity,1221,33,0.021937812009537584,"[0.02302016860094789, 0.024662093783815033, 0.020950099755145186, 0.01804732503998606, 0.023009372867793757]",,,,,
sub-01,V1,MIP,train,sub-10,linear_predictivity,1221,178,0.0036904994234569955,,"[31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796]",0.0478840821306213,1.4155618332048414,0.9518266802568945,0.9909523036512102
sub-01,V1,MIP,test,sub-10,linear_predictivity,1221,178,0.04550377175505689,"[0.051667362262470574, 0.043028345702894454, 0.039543689453293236, 0.04851759035903216, 0.044761870997594044]",,,,,
sub-01,V1,VIP,train,sub-10,linear_predictivity,1221,100,0.008845097871329703,,"[10000.0, 10000.0, 10000.0, 10000.0, 31622.776601683796]",0.09320309888261086,1.3770383420985886,0.9064439135833521,0.9877717799378456
sub-01,V1,VIP,test,sub-10,linear_predictivity,1221,100,0.07484757378714332,"[0.08992701019642492, 0.0694820785143026, 0.06208312913728349, 0.08616732846574914, 0.06657832262195645]",,,,,
