model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-01,V1,V1,train,sub-10,1221,553,rsa,0.11926605552434921
sub-01,V1,V2,train,sub-10,1221,516,rsa,0.1265532672405243
sub-01,V1,V3,train,sub-10,1221,400,rsa,0.10921990126371384
sub-01,V1,V4,train,sub-10,1221,574,rsa,0.07889065146446228
sub-01,V1,V3A,train,sub-10,1221,85,rsa,0.042886070907115936
sub-01,V1,V3B,train,sub-10,1221,99,rsa,0.030586834996938705
sub-01,V1,V6,train,sub-10,1221,11,rsa,0.00996330939233303
sub-01,V1,V6A,train,sub-10,1221,45,rsa,0.0278625451028347
sub-01,V1,V7,train,sub-10,1221,61,rsa,0.021863071247935295
sub-01,V1,V8,train,sub-10,1221,96,rsa,0.034483253955841064
sub-01,V1,FFC,train,sub-10,1221,244,rsa,0.021662574261426926
sub-01,V1,PIT,train,sub-10,1221,100,rsa,0.0274841096252203
sub-01,V1,IPS1,train,sub-10,1221,166,rsa,0.013805927708745003
sub-01,V1,MST,train,sub-10,1221,135,rsa,0.03432677686214447
sub-01,V1,MT,train,sub-10,1221,86,rsa,0.031705185770988464
sub-01,V1,FST,train,sub-10,1221,167,rsa,0.02617102675139904
sub-01,V1,LO1,train,sub-10,1221,78,rsa,0.026431994512677193
sub-01,V1,LO2,train,sub-10,1221,80,rsa,0.019301773980259895
sub-01,V1,LO3,train,sub-10,1221,113,rsa,0.02054724097251892
sub-01,V1,V7,train,sub-10,1221,61,rsa,0.021863071247935295
sub-01,V1,IP0,train,sub-10,1221,103,rsa,0.02706233412027359
sub-01,V1,IP1,train,sub-10,1221,33,rsa,0.0061686658300459385
sub-01,V1,MIP,train,sub-10,1221,178,rsa,0.005332286935299635
sub-01,V1,VIP,train,sub-10,1221,100,rsa,0.009258224628865719
sub-01,V1,LIPd,train,sub-10,1221,31,rsa,0.005488962400704622
sub-01,V1,LIPv,train,sub-10,1221,75,rsa,0.017702067270874977
sub-01,V1,AIP,train,sub-10,1221,409,rsa,0.004964126273989677
sub-01,V1,7Pm,train,sub-10,1221,21,rsa,0.009824365377426147
sub-01,V1,7PL,train,sub-10,1221,106,rsa,0.006576036103069782
sub-01,V1,7PC,train,sub-10,1221,224,rsa,0.018987061455845833
sub-01,V1,7Am,train,sub-10,1221,186,rsa,0.014928683638572693
sub-01,V1,7AL,train,sub-10,1221,158,rsa,0.008234006352722645
sub-01,V1,VVC,train,sub-10,1221,196,rsa,0.0244003813713789
sub-01,V1,VMV2,train,sub-10,1221,94,rsa,0.026810461655259132
sub-01,V1,VMV3,train,sub-10,1221,98,rsa,0.022999901324510574
sub-01,V1,VMV1,train,sub-10,1221,42,rsa,0.021519243717193604
sub-01,V1,PHA2,train,sub-10,1221,21,rsa,0.010624830611050129
sub-01,V1,PHA3,train,sub-10,1221,104,rsa,0.013871025294065475
sub-01,V1,PH,train,sub-10,1221,261,rsa,0.021126989275217056
sub-01,V2,V1,train,sub-10,925,553,rsa,0.1460890769958496
sub-01,V2,V2,train,sub-10,925,516,rsa,0.15592710673809052
sub-01,V2,V3,train,sub-10,925,400,rsa,0.1361078917980194
sub-01,V2,V4,train,sub-10,925,574,rsa,0.11312014609575272
sub-01,V2,V3A,train,sub-10,925,85,rsa,0.06611674278974533
sub-01,V2,V3B,train,sub-10,925,99,rsa,0.04286296293139458
sub-01,V2,V6,train,sub-10,925,11,rsa,0.01672225631773472
sub-01,V2,V6A,train,sub-10,925,45,rsa,0.035937145352363586
sub-01,V2,V7,train,sub-10,925,61,rsa,0.027476003393530846
sub-01,V2,V8,train,sub-10,925,96,rsa,0.05378732085227966
sub-01,V2,FFC,train,sub-10,925,244,rsa,0.03920472413301468
sub-01,V2,PIT,train,sub-10,925,100,rsa,0.03931426629424095
sub-01,V2,IPS1,train,sub-10,925,166,rsa,0.02062932588160038
sub-01,V2,MST,train,sub-10,925,135,rsa,0.0451848991215229
sub-01,V2,MT,train,sub-10,925,86,rsa,0.04945791885256767
sub-01,V2,FST,train,sub-10,925,167,rsa,0.03008292056620121
sub-01,V2,LO1,train,sub-10,925,78,rsa,0.040701307356357574
sub-01,V2,LO2,train,sub-10,925,80,rsa,0.028332402929663658
sub-01,V2,LO3,train,sub-10,925,113,rsa,0.04060417413711548
sub-01,V2,V7,train,sub-10,925,61,rsa,0.027476003393530846
sub-01,V2,IP0,train,sub-10,925,103,rsa,0.037441056221723557
sub-01,V2,IP1,train,sub-10,925,33,rsa,0.008095692843198776
sub-01,V2,MIP,train,sub-10,925,178,rsa,0.006212727632373571
sub-01,V2,VIP,train,sub-10,925,100,rsa,0.01759047992527485
sub-01,V2,LIPd,train,sub-10,925,31,rsa,0.005536040756851435
sub-01,V2,LIPv,train,sub-10,925,75,rsa,0.029020454734563828
sub-01,V2,AIP,train,sub-10,925,409,rsa,0.008626691997051239
sub-01,V2,7Pm,train,sub-10,925,21,rsa,0.015358805656433105
sub-01,V2,7PL,train,sub-10,925,106,rsa,0.012226354330778122
sub-01,V2,7PC,train,sub-10,925,224,rsa,0.026674523949623108
sub-01,V2,7Am,train,sub-10,925,186,rsa,0.020508794113993645
sub-01,V2,7AL,train,sub-10,925,158,rsa,0.011128071695566177
sub-01,V2,VVC,train,sub-10,925,196,rsa,0.03381999954581261
sub-01,V2,VMV2,train,sub-10,925,94,rsa,0.03448689728975296
sub-01,V2,VMV3,train,sub-10,925,98,rsa,0.02854292094707489
sub-01,V2,VMV1,train,sub-10,925,42,rsa,0.027157815173268318
sub-01,V2,PHA2,train,sub-10,925,21,rsa,0.014784996397793293
sub-01,V2,PHA3,train,sub-10,925,104,rsa,0.02158547379076481
sub-01,V2,PH,train,sub-10,925,261,rsa,0.035684652626514435
sub-01,V3,V1,train,sub-10,621,553,rsa,0.16706612706184387
sub-01,V3,V2,train,sub-10,621,516,rsa,0.16853170096874237
