model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-07,V1,V1,train,sub-09,linear_predictivity,420,641,0.060495317304070796,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14348614310100918,1.0642466842445726,0.8563066907635755,0.9360469634524968
sub-07,V1,V1,test,sub-09,linear_predictivity,420,641,0.14326080592739143,"[0.1460982975439392, 0.1466788981202422, 0.1419154884248974, 0.1416627295723409, 0.13994861597553743]",,,,,
sub-07,V1,V2,train,sub-09,linear_predictivity,420,754,0.05424912593915821,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13975424611527779,1.0652064448002874,0.8600085380127866,0.9415952258546467
sub-07,V1,V2,test,sub-09,linear_predictivity,420,754,0.1190409111584704,"[0.11015398700976996, 0.12736315008318885, 0.126968920602839, 0.12193745078613952, 0.10878104731041474]",,,,,
sub-07,V1,V3,train,sub-09,linear_predictivity,420,575,0.053967608706773515,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13820847205787556,1.0678592322867864,0.8615993576133306,0.942616486456652
sub-07,V1,V3,test,sub-09,linear_predictivity,420,575,0.13334742130436744,"[0.1260467118183724, 0.13895312628312337, 0.13999712555241725, 0.13413859733712027, 0.12760154553080394]",,,,,
sub-07,V1,V4,train,sub-09,linear_predictivity,420,616,0.05179719120142702,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13216637856667082,1.0733837407784717,0.8676670218219398,0.9454015979998058
sub-07,V1,V4,test,sub-09,linear_predictivity,420,616,0.12488041804469452,"[0.12722121317040005, 0.12673824601824227, 0.12779608558114655, 0.1230358734976438, 0.11961067195603989]",,,,,
sub-07,V1,V3A,train,sub-09,linear_predictivity,420,270,0.012621469173126239,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10304524665686517,1.093449365552638,0.896654733357599,0.9821210810210103
sub-07,V1,V3A,test,sub-09,linear_predictivity,420,270,0.030092868739778865,"[0.005696857903924058, 0.03800183647634022, 0.03731707669870548, 0.03254163354729965, 0.03690693907262491]",,,,,
sub-07,V1,V3B,train,sub-09,linear_predictivity,420,148,0.03317931924859289,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11046921830577708,1.0871573714831306,0.889342666978213,0.9635595282082289
sub-07,V1,V3B,test,sub-09,linear_predictivity,420,148,0.08137503342605851,"[0.07914866844736299, 0.08896327007150147, 0.07730148038791237, 0.0847019072088467, 0.076759841014669]",,,,,
sub-07,V1,V6,train,sub-09,linear_predictivity,420,104,-0.0011766605530890378,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.045388873642890404,1.1053093586141185,0.9543395160288979,0.9967025504433401
sub-07,V1,V6,test,sub-09,linear_predictivity,420,104,0.0032601726576036577,"[-0.009410063675308375, 0.005799473082762805, 0.002302151602567387, 0.0043552641058562415, 0.013254038172140232]",,,,,
sub-07,V1,V6A,train,sub-09,linear_predictivity,420,85,0.012263448340707946,,"[10000.0, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.08014280277534205,1.0997380631873,0.9193147183756208,0.984016316293997
sub-07,V1,V6A,test,sub-09,linear_predictivity,420,85,0.04047477253387183,"[0.03421147498816701, 0.04966838454268131, 0.04221547701967804, 0.028841425385961215, 0.04743710073287159]",,,,,
sub-07,V1,V7,train,sub-09,linear_predictivity,420,87,0.04088676513125349,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12129679279778476,1.0678755398401534,0.8785579105343837,0.9564595948678024
sub-07,V1,V7,test,sub-09,linear_predictivity,420,87,0.07693470996007573,"[0.08772973206372296, 0.08103612045344546, 0.06933807715301989, 0.07649608351985457, 0.07007353661033582]",,,,,
