model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-07,V1,V1,train,sub-09,420,641,rsa,0.08314097672700882
sub-07,V1,V2,train,sub-09,420,754,rsa,0.07149741798639297
sub-07,V1,V3,train,sub-09,420,575,rsa,0.0601445809006691
sub-07,V1,V4,train,sub-09,420,616,rsa,0.060757722705602646
sub-07,V1,V3A,train,sub-09,420,270,rsa,0.02779686264693737
sub-07,V1,V3B,train,sub-09,420,148,rsa,0.020417720079421997
sub-07,V1,V6,train,sub-09,420,104,rsa,0.014249387197196484
sub-07,V1,V6A,train,sub-09,420,85,rsa,0.019421719014644623
sub-07,V1,V7,train,sub-09,420,87,rsa,0.02175791934132576
sub-07,V1,V8,train,sub-09,420,101,rsa,0.035158392041921616
sub-07,V1,FFC,train,sub-09,420,263,rsa,0.039750613272190094
sub-07,V1,PIT,train,sub-09,420,123,rsa,0.031236855313181877
sub-07,V1,IPS1,train,sub-09,420,243,rsa,0.015107003971934319
sub-07,V1,MST,train,sub-09,420,149,rsa,0.036044105887413025
sub-07,V1,MT,train,sub-09,420,100,rsa,0.027207957580685616
sub-07,V1,FST,train,sub-09,420,156,rsa,0.024816740304231644
sub-07,V1,LO1,train,sub-09,420,79,rsa,0.016428833827376366
sub-07,V1,LO2,train,sub-09,420,80,rsa,0.021991586312651634
sub-07,V1,LO3,train,sub-09,420,125,rsa,0.03179209679365158
sub-07,V1,V7,train,sub-09,420,87,rsa,0.02175791934132576
sub-07,V1,IP0,train,sub-09,420,198,rsa,0.01661951094865799
sub-07,V1,IP1,train,sub-09,420,114,rsa,0.009115911088883877
sub-07,V1,MIP,train,sub-09,420,280,rsa,0.012549598701298237
sub-07,V1,VIP,train,sub-09,420,180,rsa,0.007996981032192707
sub-07,V1,LIPd,train,sub-09,420,69,rsa,0.009631743654608727
sub-07,V1,LIPv,train,sub-09,420,239,rsa,0.011461718939244747
sub-07,V1,AIP,train,sub-09,420,275,rsa,0.0027084853500127792
sub-07,V1,7Pm,train,sub-09,420,17,rsa,0.0049380655400455
sub-07,V1,7PL,train,sub-09,420,133,rsa,0.004244869574904442
sub-07,V1,7PC,train,sub-09,420,315,rsa,0.010427630506455898
sub-07,V1,7Am,train,sub-09,420,228,rsa,0.006350134499371052
sub-07,V1,7AL,train,sub-09,420,178,rsa,0.005707221571356058
sub-07,V1,VVC,train,sub-09,420,151,rsa,0.016513284295797348
sub-07,V1,VMV2,train,sub-09,420,119,rsa,0.02498033456504345
sub-07,V1,VMV3,train,sub-09,420,109,rsa,0.007425275165587664
sub-07,V1,VMV1,train,sub-09,420,96,rsa,0.026677388697862625
sub-07,V1,PHA2,train,sub-09,420,17,rsa,0.0012324225390329957
sub-07,V1,PHA3,train,sub-09,420,104,rsa,0.007628664840012789
sub-07,V1,PH,train,sub-09,420,258,rsa,0.03848470747470856
sub-07,V2,V1,train,sub-09,470,641,rsa,0.09162130951881409
sub-07,V2,V2,train,sub-09,470,754,rsa,0.11491537094116211
sub-07,V2,V3,train,sub-09,470,575,rsa,0.08740396052598953
sub-07,V2,V4,train,sub-09,470,616,rsa,0.06904903799295425
sub-07,V2,V3A,train,sub-09,470,270,rsa,0.0543033704161644
sub-07,V2,V3B,train,sub-09,470,148,rsa,0.024154404178261757
sub-07,V2,V6,train,sub-09,470,104,rsa,0.02882496826350689
sub-07,V2,V6A,train,sub-09,470,85,rsa,0.028654081746935844
sub-07,V2,V7,train,sub-09,470,87,rsa,0.029405247420072556
sub-07,V2,V8,train,sub-09,470,101,rsa,0.04756248742341995
sub-07,V2,FFC,train,sub-09,470,263,rsa,0.04601849615573883
sub-07,V2,PIT,train,sub-09,470,123,rsa,0.04024383798241615
sub-07,V2,IPS1,train,sub-09,470,243,rsa,0.018029585480690002
sub-07,V2,MST,train,sub-09,470,149,rsa,0.043029457330703735
sub-07,V2,MT,train,sub-09,470,100,rsa,0.03267776221036911
sub-07,V2,FST,train,sub-09,470,156,rsa,0.026046838611364365
sub-07,V2,LO1,train,sub-09,470,79,rsa,0.024136019870638847
sub-07,V2,LO2,train,sub-09,470,80,rsa,0.02614818885922432
sub-07,V2,LO3,train,sub-09,470,125,rsa,0.03837407007813454
sub-07,V2,V7,train,sub-09,470,87,rsa,0.029405247420072556
sub-07,V2,IP0,train,sub-09,470,198,rsa,0.011822059750556946
sub-07,V2,IP1,train,sub-09,470,114,rsa,0.012269189581274986
sub-07,V2,MIP,train,sub-09,470,280,rsa,0.014711854048073292
sub-07,V2,VIP,train,sub-09,470,180,rsa,0.008964108303189278
sub-07,V2,LIPd,train,sub-09,470,69,rsa,0.018839921802282333
sub-07,V2,LIPv,train,sub-09,470,239,rsa,0.020991576835513115
sub-07,V2,AIP,train,sub-09,470,275,rsa,0.006884277798235416
sub-07,V2,7Pm,train,sub-09,470,17,rsa,0.0013660304248332977
sub-07,V2,7PL,train,sub-09,470,133,rsa,0.009520197287201881
sub-07,V2,7PC,train,sub-09,470,315,rsa,0.01570902019739151
sub-07,V2,7Am,train,sub-09,470,228,rsa,0.012383297085762024
sub-07,V2,7AL,train,sub-09,470,178,rsa,0.006984942592680454
sub-07,V2,VVC,train,sub-09,470,151,rsa,0.013566807843744755
sub-07,V2,VMV2,train,sub-09,470,119,rsa,0.01724741980433464
sub-07,V2,VMV3,train,sub-09,470,109,rsa,0.012140451930463314
sub-07,V2,VMV1,train,sub-09,470,96,rsa,0.02098695933818817
sub-07,V2,PHA2,train,sub-09,470,17,rsa,0.0011117623653262854
sub-07,V2,PHA3,train,sub-09,470,104,rsa,0.006456131115555763
sub-07,V2,PH,train,sub-09,470,258,rsa,0.03840958699584007
sub-07,V3,V1,train,sub-09,348,641,rsa,0.060101717710494995
sub-07,V3,V2,train,sub-09,348,754,rsa,0.0801553949713707
sub-07,V3,V3,train,sub-09,348,575,rsa,0.07224711030721664
sub-07,V3,V4,train,sub-09,348,616,rsa,0.05917574465274811
sub-07,V3,V3A,train,sub-09,348,270,rsa,0.06283312290906906
sub-07,V3,V3B,train,sub-09,348,148,rsa,0.02993396669626236
sub-07,V3,V6,train,sub-09,348,104,rsa,0.03587440773844719
sub-07,V3,V6A,train,sub-09,348,85,rsa,0.03777823597192764
sub-07,V3,V7,train,sub-09,348,87,rsa,0.03682621568441391
sub-07,V3,V8,train,sub-09,348,101,rsa,0.044628046452999115
sub-07,V3,FFC,train,sub-09,348,263,rsa,0.050816260278224945
sub-07,V3,PIT,train,sub-09,348,123,rsa,0.03805357217788696
sub-07,V3,IPS1,train,sub-09,348,243,rsa,0.024318387731909752
sub-07,V3,MST,train,sub-09,348,149,rsa,0.04745576158165932
sub-07,V3,MT,train,sub-09,348,100,rsa,0.03979143500328064
sub-07,V3,FST,train,sub-09,348,156,rsa,0.0334785021841526
sub-07,V3,LO1,train,sub-09,348,79,rsa,0.029971467331051826
sub-07,V3,LO2,train,sub-09,348,80,rsa,0.030540619045495987
sub-07,V3,LO3,train,sub-09,348,125,rsa,0.04111182317137718
sub-07,V3,V7,train,sub-09,348,87,rsa,0.03682621568441391
sub-07,V3,IP0,train,sub-09,348,198,rsa,0.01830332726240158
sub-07,V3,IP1,train,sub-09,348,114,rsa,0.019457608461380005
sub-07,V3,MIP,train,sub-09,348,280,rsa,0.020404499024152756
sub-07,V3,VIP,train,sub-09,348,180,rsa,0.012846384197473526
sub-07,V3,LIPd,train,sub-09,348,69,rsa,0.022081946954131126
sub-07,V3,LIPv,train,sub-09,348,239,rsa,0.026458941400051117
sub-07,V3,AIP,train,sub-09,348,275,rsa,0.012050513178110123
sub-07,V3,7Pm,train,sub-09,348,17,rsa,0.0005881122779101133
sub-07,V3,7PL,train,sub-09,348,133,rsa,0.018059521913528442
sub-07,V3,7PC,train,sub-09,348,315,rsa,0.0231454037129879
sub-07,V3,7Am,train,sub-09,348,228,rsa,0.019184697419404984
sub-07,V3,7AL,train,sub-09,348,178,rsa,0.009255778044462204
sub-07,V3,VVC,train,sub-09,348,151,rsa,0.015575702302157879
sub-07,V3,VMV2,train,sub-09,348,119,rsa,0.02188585326075554
sub-07,V3,VMV3,train,sub-09,348,109,rsa,0.014651510864496231
sub-07,V3,VMV1,train,sub-09,348,96,rsa,0.021307889372110367
sub-07,V3,PHA2,train,sub-09,348,17,rsa,0.0025128046981990337
sub-07,V3,PHA3,train,sub-09,348,104,rsa,0.008213391527533531
sub-07,V3,PH,train,sub-09,348,258,rsa,0.047069162130355835
sub-07,V4,V1,train,sub-09,451,641,rsa,0.06405948847532272
sub-07,V4,V2,train,sub-09,451,754,rsa,0.06960958987474442
sub-07,V4,V3,train,sub-09,451,575,rsa,0.06405004858970642
sub-07,V4,V4,train,sub-09,451,616,rsa,0.14124652743339539
sub-07,V4,V3A,train,sub-09,451,270,rsa,0.06057054176926613
sub-07,V4,V3B,train,sub-09,451,148,rsa,0.09909042716026306
sub-07,V4,V6,train,sub-09,451,104,rsa,0.0389084592461586
sub-07,V4,V6A,train,sub-09,451,85,rsa,0.08844912797212601
sub-07,V4,V7,train,sub-09,451,87,rsa,0.0802551880478859
sub-07,V4,V8,train,sub-09,451,101,rsa,0.11654138565063477
sub-07,V4,FFC,train,sub-09,451,263,rsa,0.22498513758182526
