model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-05,V1,V1,train,sub-10,linear_predictivity,608,553,0.10696671629213529,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20894354476478672,1.0858103640545393,0.7908253281346765,0.8889797624000917
sub-05,V1,V1,test,sub-10,linear_predictivity,608,553,0.20056966746466803,"[0.1956744406617694, 0.20683394195745938, 0.1979906719716206, 0.20211168025343193, 0.2002376024790587]",,,,,
sub-05,V1,V2,train,sub-10,linear_predictivity,608,516,0.09902249821900495,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2034022470797491,1.0900047354947566,0.7963412671152844,0.896515866412881
sub-05,V1,V2,test,sub-10,linear_predictivity,608,516,0.17974794483898932,"[0.17416370545661286, 0.18666280376856087, 0.18091498739108397, 0.18217369829229804, 0.17482452928639095]",,,,,
sub-05,V1,V3,train,sub-10,linear_predictivity,608,400,0.11275854071655399,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.21340884336431212,1.0838635596769788,0.7863936043573895,0.8838545526159507
sub-05,V1,V3,test,sub-10,linear_predictivity,608,400,0.18782606594919965,"[0.18096633937183498, 0.18989514500884436, 0.19089154496802346, 0.19058745018903714, 0.18678985020825842]",,,,,
sub-05,V1,V4,train,sub-10,linear_predictivity,608,574,0.06937190134643889,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17193088745224744,1.1224564926258223,0.8278847173861577,0.9274359806107768
sub-05,V1,V4,test,sub-10,linear_predictivity,608,574,0.143025728654261,"[0.14615616806618847, 0.1379756712674547, 0.14374443819701066, 0.14184864040570774, 0.1454037253349434]",,,,,
sub-05,V1,V3A,train,sub-10,linear_predictivity,608,85,0.03056667531112124,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 10000.0]",0.11912069204024048,1.1588034187156606,0.8805850294061157,0.9661634837589563
sub-05,V1,V3A,test,sub-10,linear_predictivity,608,85,0.11553411375402516,"[0.12110161778356557, 0.12284294129972873, 0.09232556595740782, 0.1333279804012729, 0.10807246332815079]",,,,,
sub-05,V1,V3B,train,sub-10,linear_predictivity,608,99,0.018867943076864933,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.0704708074072192,1.159853527919195,0.9293318977833241,0.9778566319127199
