model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-05,V1,V1,train,sub-10,608,553,rsa,0.11953381448984146
sub-05,V1,V2,train,sub-10,608,516,rsa,0.11765187978744507
sub-05,V1,V3,train,sub-10,608,400,rsa,0.12041817605495453
sub-05,V1,V4,train,sub-10,608,574,rsa,0.10059666633605957
sub-05,V1,V3A,train,sub-10,608,85,rsa,0.045036230236291885
sub-05,V1,V3B,train,sub-10,608,99,rsa,0.021053239703178406
sub-05,V1,V6,train,sub-10,608,11,rsa,0.007777927443385124
sub-05,V1,V6A,train,sub-10,608,45,rsa,0.023437220603227615
sub-05,V1,V7,train,sub-10,608,61,rsa,0.012239048257470131
sub-05,V1,V8,train,sub-10,608,96,rsa,0.053246576339006424
sub-05,V1,FFC,train,sub-10,608,244,rsa,0.02498484030365944
sub-05,V1,PIT,train,sub-10,608,100,rsa,0.030246298760175705
sub-05,V1,IPS1,train,sub-10,608,166,rsa,0.011911777779459953
sub-05,V1,MST,train,sub-10,608,135,rsa,0.02253975346684456
sub-05,V1,MT,train,sub-10,608,86,rsa,0.03384670615196228
sub-05,V1,FST,train,sub-10,608,167,rsa,0.013177957385778427
sub-05,V1,LO1,train,sub-10,608,78,rsa,0.034822795540094376
sub-05,V1,LO2,train,sub-10,608,80,rsa,0.018712118268013
sub-05,V1,LO3,train,sub-10,608,113,rsa,0.025929292663931847
sub-05,V1,V7,train,sub-10,608,61,rsa,0.012239048257470131
sub-05,V1,IP0,train,sub-10,608,103,rsa,0.022489264607429504
sub-05,V1,IP1,train,sub-10,608,33,rsa,0.00044330224045552313
sub-05,V1,MIP,train,sub-10,608,178,rsa,0.0027122758328914642
sub-05,V1,VIP,train,sub-10,608,100,rsa,0.010032109916210175
sub-05,V1,LIPd,train,sub-10,608,31,rsa,0.0003683835093397647
sub-05,V1,LIPv,train,sub-10,608,75,rsa,0.0037451847456395626
sub-05,V1,AIP,train,sub-10,608,409,rsa,0.0018925245385617018
sub-05,V1,7Pm,train,sub-10,608,21,rsa,0.009466806426644325
sub-05,V1,7PL,train,sub-10,608,106,rsa,0.005586423445492983
sub-05,V1,7PC,train,sub-10,608,224,rsa,0.0051247719675302505
sub-05,V1,7Am,train,sub-10,608,186,rsa,0.005027159582823515
sub-05,V1,7AL,train,sub-10,608,158,rsa,0.0031641109380871058
sub-05,V1,VVC,train,sub-10,608,196,rsa,0.022611256688833237
sub-05,V1,VMV2,train,sub-10,608,94,rsa,0.02175203710794449
sub-05,V1,VMV3,train,sub-10,608,98,rsa,0.015110906213521957
sub-05,V1,VMV1,train,sub-10,608,42,rsa,0.01708090677857399
sub-05,V1,PHA2,train,sub-10,608,21,rsa,0.01052288431674242
sub-05,V1,PHA3,train,sub-10,608,104,rsa,0.011453614570200443
sub-05,V1,PH,train,sub-10,608,261,rsa,0.021302180364727974
sub-05,V2,V1,train,sub-10,559,553,rsa,0.12680843472480774
sub-05,V2,V2,train,sub-10,559,516,rsa,0.13499517738819122
sub-05,V2,V3,train,sub-10,559,400,rsa,0.12917590141296387
sub-05,V2,V4,train,sub-10,559,574,rsa,0.11438066512346268
sub-05,V2,V3A,train,sub-10,559,85,rsa,0.05593421310186386
sub-05,V2,V3B,train,sub-10,559,99,rsa,0.02841026522219181
sub-05,V2,V6,train,sub-10,559,11,rsa,0.01503421738743782
sub-05,V2,V6A,train,sub-10,559,45,rsa,0.027237070724368095
sub-05,V2,V7,train,sub-10,559,61,rsa,0.01957051083445549
sub-05,V2,V8,train,sub-10,559,96,rsa,0.0539604015648365
sub-05,V2,FFC,train,sub-10,559,244,rsa,0.037890784442424774
sub-05,V2,PIT,train,sub-10,559,100,rsa,0.03909606859087944
sub-05,V2,IPS1,train,sub-10,559,166,rsa,0.011654321104288101
sub-05,V2,MST,train,sub-10,559,135,rsa,0.03383037820458412
sub-05,V2,MT,train,sub-10,559,86,rsa,0.04620449244976044
sub-05,V2,FST,train,sub-10,559,167,rsa,0.019281722605228424
sub-05,V2,LO1,train,sub-10,559,78,rsa,0.04259498044848442
sub-05,V2,LO2,train,sub-10,559,80,rsa,0.029330503195524216
sub-05,V2,LO3,train,sub-10,559,113,rsa,0.03241207078099251
