model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-06,V1,V1,train,sub-09,597,641,rsa,0.20648163557052612
sub-06,V1,V2,train,sub-09,597,754,rsa,0.204652801156044
sub-06,V1,V3,train,sub-09,597,575,rsa,0.17044948041439056
sub-06,V1,V4,train,sub-09,597,616,rsa,0.1420319378376007
sub-06,V1,V3A,train,sub-09,597,270,rsa,0.0770992785692215
sub-06,V1,V3B,train,sub-09,597,148,rsa,0.05465835705399513
sub-06,V1,V6,train,sub-09,597,104,rsa,0.041572052985429764
sub-06,V1,V6A,train,sub-09,597,85,rsa,0.033127546310424805
sub-06,V1,V7,train,sub-09,597,87,rsa,0.0472186878323555
sub-06,V1,V8,train,sub-09,597,101,rsa,0.056238580495119095
sub-06,V1,FFC,train,sub-09,597,263,rsa,0.044005364179611206
sub-06,V1,PIT,train,sub-09,597,123,rsa,0.05534711480140686
sub-06,V1,IPS1,train,sub-09,597,243,rsa,0.022489452734589577
sub-06,V1,MST,train,sub-09,597,149,rsa,0.04567832499742508
sub-06,V1,MT,train,sub-09,597,100,rsa,0.04625529423356056
sub-06,V1,FST,train,sub-09,597,156,rsa,0.017802918329834938
sub-06,V1,LO1,train,sub-09,597,79,rsa,0.043687477707862854
sub-06,V1,LO2,train,sub-09,597,80,rsa,0.026281515136361122
sub-06,V1,LO3,train,sub-09,597,125,rsa,0.043925151228904724
sub-06,V1,V7,train,sub-09,597,87,rsa,0.0472186878323555
sub-06,V1,IP0,train,sub-09,597,198,rsa,0.026842467486858368
sub-06,V1,IP1,train,sub-09,597,114,rsa,0.014229944907128811
sub-06,V1,MIP,train,sub-09,597,280,rsa,0.024597197771072388
sub-06,V1,VIP,train,sub-09,597,180,rsa,0.018083900213241577
sub-06,V1,LIPd,train,sub-09,597,69,rsa,0.015867577865719795
sub-06,V1,LIPv,train,sub-09,597,239,rsa,0.033139608800411224
sub-06,V1,AIP,train,sub-09,597,275,rsa,0.0031865902710705996
sub-06,V1,7Pm,train,sub-09,597,17,rsa,0.0008936642552725971
sub-06,V1,7PL,train,sub-09,597,133,rsa,0.018044734373688698
sub-06,V1,7PC,train,sub-09,597,315,rsa,0.01902933232486248
sub-06,V1,7Am,train,sub-09,597,228,rsa,0.021583160385489464
sub-06,V1,7AL,train,sub-09,597,178,rsa,0.006560687441378832
sub-06,V1,VVC,train,sub-09,597,151,rsa,0.02943527139723301
sub-06,V1,VMV2,train,sub-09,597,119,rsa,0.035308144986629486
sub-06,V1,VMV3,train,sub-09,597,109,rsa,0.02999298647046089
sub-06,V1,VMV1,train,sub-09,597,96,rsa,0.02863789163529873
sub-06,V1,PHA2,train,sub-09,597,17,rsa,0.0034713600762188435
sub-06,V1,PHA3,train,sub-09,597,104,rsa,0.01722797565162182
sub-06,V1,PH,train,sub-09,597,258,rsa,0.028261123225092888
sub-06,V2,V1,train,sub-09,631,641,rsa,0.16125507652759552
sub-06,V2,V2,train,sub-09,631,754,rsa,0.21513786911964417
sub-06,V2,V3,train,sub-09,631,575,rsa,0.18472592532634735
sub-06,V2,V4,train,sub-09,631,616,rsa,0.15460921823978424
sub-06,V2,V3A,train,sub-09,631,270,rsa,0.11930640041828156
sub-06,V2,V3B,train,sub-09,631,148,rsa,0.05918228626251221
sub-06,V2,V6,train,sub-09,631,104,rsa,0.059016402810811996
sub-06,V2,V6A,train,sub-09,631,85,rsa,0.04977559670805931
sub-06,V2,V7,train,sub-09,631,87,rsa,0.05454546585679054
sub-06,V2,V8,train,sub-09,631,101,rsa,0.06424464285373688
sub-06,V2,FFC,train,sub-09,631,263,rsa,0.04532793536782265
sub-06,V2,PIT,train,sub-09,631,123,rsa,0.05943683534860611
sub-06,V2,IPS1,train,sub-09,631,243,rsa,0.03378404304385185
sub-06,V2,MST,train,sub-09,631,149,rsa,0.059158533811569214
sub-06,V2,MT,train,sub-09,631,100,rsa,0.05922158434987068
sub-06,V2,FST,train,sub-09,631,156,rsa,0.025805320590734482
sub-06,V2,LO1,train,sub-09,631,79,rsa,0.04457810893654823
sub-06,V2,LO2,train,sub-09,631,80,rsa,0.03508654236793518
sub-06,V2,LO3,train,sub-09,631,125,rsa,0.05658524110913277
sub-06,V2,V7,train,sub-09,631,87,rsa,0.05454546585679054
sub-06,V2,IP0,train,sub-09,631,198,rsa,0.03388071432709694
sub-06,V2,IP1,train,sub-09,631,114,rsa,0.02359529584646225
sub-06,V2,MIP,train,sub-09,631,280,rsa,0.03074967861175537
sub-06,V2,VIP,train,sub-09,631,180,rsa,0.023373443633317947
sub-06,V2,LIPd,train,sub-09,631,69,rsa,0.021094990894198418
sub-06,V2,LIPv,train,sub-09,631,239,rsa,0.03968324139714241
sub-06,V2,AIP,train,sub-09,631,275,rsa,0.010410205461084843
sub-06,V2,7Pm,train,sub-09,631,17,rsa,0.0010184072889387608
sub-06,V2,7PL,train,sub-09,631,133,rsa,0.036978475749492645
sub-06,V2,7PC,train,sub-09,631,315,rsa,0.02581210993230343
sub-06,V2,7Am,train,sub-09,631,228,rsa,0.027693601325154305
sub-06,V2,7AL,train,sub-09,631,178,rsa,0.013478864915668964
sub-06,V2,VVC,train,sub-09,631,151,rsa,0.027620911598205566
sub-06,V2,VMV2,train,sub-09,631,119,rsa,0.03606884926557541
sub-06,V2,VMV3,train,sub-09,631,109,rsa,0.027719395235180855
sub-06,V2,VMV1,train,sub-09,631,96,rsa,0.038956716656684875
sub-06,V2,PHA2,train,sub-09,631,17,rsa,0.006109141744673252
sub-06,V2,PHA3,train,sub-09,631,104,rsa,0.021130917593836784
sub-06,V2,PH,train,sub-09,631,258,rsa,0.029971621930599213
sub-06,V3,V1,train,sub-09,432,641,rsa,0.13831596076488495
sub-06,V3,V2,train,sub-09,432,754,rsa,0.1520911604166031
sub-06,V3,V3,train,sub-09,432,575,rsa,0.16828137636184692
sub-06,V3,V4,train,sub-09,432,616,rsa,0.15779362618923187
sub-06,V3,V3A,train,sub-09,432,270,rsa,0.0905357077717781
sub-06,V3,V3B,train,sub-09,432,148,rsa,0.06915942579507828
