model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-06,V1,V1,train,sub-07,linear_predictivity,597,420,0.06987789407419562,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19061823736288555,1.1463941377928397,0.8091074287979467,0.9254026662009233
sub-06,V1,V1,test,sub-07,linear_predictivity,597,420,0.11875752277966592,"[0.1331508499491661, 0.12129304149804072, 0.11686692935336541, 0.110972837584947, 0.1115039555128104]",,,,,
sub-06,V1,V2,train,sub-07,linear_predictivity,597,470,0.06898083607888254,,"[10000.0, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.17050904951629203,1.1548442569243869,0.8290157845582581,0.926019359975631
sub-06,V1,V2,test,sub-07,linear_predictivity,597,470,0.15480298134342943,"[0.15867367270488045, 0.1615623505737354, 0.15860501405140465, 0.14773060209745412, 0.14744326728967255]",,,,,
sub-06,V1,V3,train,sub-07,linear_predictivity,597,348,0.0452079307029035,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.11012829674564717,1.1808614833864257,0.8895355797958324,0.9493786580655502
sub-06,V1,V3,test,sub-07,linear_predictivity,597,348,0.09477323183781441,"[0.10173110312969466, 0.09722193094567295, 0.09802188901033304, 0.08890948594579455, 0.0879817501575768]",,,,,
sub-06,V1,V4,train,sub-07,linear_predictivity,597,451,0.02356772715077835,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.08765465602282854,1.1981938489027089,0.9120459730331409,0.9711868849278659
sub-06,V1,V4,test,sub-07,linear_predictivity,597,451,0.053786031783143305,"[0.05675144608182608, 0.052093068165579764, 0.060957188634291316, 0.04840270318790084, 0.05072575284611851]",,,,,
sub-06,V1,V3A,train,sub-07,linear_predictivity,597,55,0.001029870563710957,,"[31622.776601683796, 31622.776601683796, 10000.0, 31622.776601683796, 31622.776601683796]",0.04123437502202902,1.2298640622254626,0.9584802728191579,0.9929009213455497
sub-06,V1,V3A,test,sub-07,linear_predictivity,597,55,0.0401012934790124,"[0.03241783712160072, 0.041435705055889775, 0.06087622918866893, 0.032055342467007086, 0.03372135356189548]",,,,,
sub-06,V1,V3B,train,sub-07,linear_predictivity,597,103,0.02277925837170837,,"[3162.277660168379, 10000.0, 10000.0, 10000.0, 10000.0]",0.10089514892581808,1.2011761923319817,0.8987513359467109,0.9710159619135632
