model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-06,V1,V1,train,sub-07,597,420,rsa,0.10186558961868286
sub-06,V1,V2,train,sub-07,597,470,rsa,0.12702526152133942
sub-06,V1,V3,train,sub-07,597,348,rsa,0.08581233769655228
sub-06,V1,V4,train,sub-07,597,451,rsa,0.07060466706752777
sub-06,V1,V3A,train,sub-07,597,55,rsa,0.014263877645134926
sub-06,V1,V3B,train,sub-07,597,103,rsa,0.019610587507486343
sub-06,V1,V6,train,sub-07,597,94,rsa,0.028895815834403038
sub-06,V1,V6A,train,sub-07,597,63,rsa,0.016861652955412865
sub-06,V1,V7,train,sub-07,597,37,rsa,0.018908914178609848
sub-06,V1,V8,train,sub-07,597,80,rsa,0.0365590900182724
sub-06,V1,FFC,train,sub-07,597,265,rsa,0.028717592358589172
sub-06,V1,PIT,train,sub-07,597,101,rsa,0.03149121254682541
sub-06,V1,IPS1,train,sub-07,597,191,rsa,0.011683044023811817
sub-06,V1,MST,train,sub-07,597,149,rsa,0.03882730379700661
sub-06,V1,MT,train,sub-07,597,100,rsa,0.027598289772868156
sub-06,V1,FST,train,sub-07,597,167,rsa,0.021079780533909798
sub-06,V1,LO1,train,sub-07,597,80,rsa,0.027121420949697495
sub-06,V1,LO2,train,sub-07,597,67,rsa,0.033791910856962204
sub-06,V1,LO3,train,sub-07,597,125,rsa,0.045429084450006485
sub-06,V1,V7,train,sub-07,597,37,rsa,0.018908914178609848
sub-06,V1,IP0,train,sub-07,597,73,rsa,0.015746066346764565
sub-06,V1,IP1,train,sub-07,597,94,rsa,-0.0007529454305768013
sub-06,V1,MIP,train,sub-07,597,71,rsa,0.003939312417060137
sub-06,V1,VIP,train,sub-07,597,91,rsa,0.0009661528747528791
sub-06,V1,LIPd,train,sub-07,597,65,rsa,0.005337315145879984
sub-06,V1,LIPv,train,sub-07,597,95,rsa,0.010472387075424194
sub-06,V1,AIP,train,sub-07,597,224,rsa,0.0015796638326719403
sub-06,V1,7Pm,train,sub-07,597,5,rsa,-0.001870785839855671
sub-06,V1,7PL,train,sub-07,597,40,rsa,0.0017667212523519993
sub-06,V1,7PC,train,sub-07,597,153,rsa,0.0034107514657080173
sub-06,V1,7Am,train,sub-07,597,78,rsa,0.0009200256317853928
sub-06,V1,7AL,train,sub-07,597,64,rsa,0.0009283656254410744
sub-06,V1,VVC,train,sub-07,597,157,rsa,0.027093980461359024
